time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,114.939,177.183,6,-44.649
1.000,1,531.089,514.222,9,-43.984
1.000,2,379.578,288.010,8,-39.206
1.000,3,235.066,171.450,6,-45.849
1.000,4,164.519,702.160,4,-44.991
1.000,5,23.387,576.377,2,-52.436
1.000,6,309.090,379.447,7,-44.969
1.000,7,174.864,56.208,2,-42.352
1.000,8,672.872,72.575,6,-42.135
1.000,9,76.527,313.639,6,-44.014
1.000,10,84.355,362.910,5,-39.290
1.000,11,451.602,479.949,5,-42.612
1.000,12,650.997,573.202,6,-43.291
1.000,13,570.493,984.518,3,-41.691
1.000,14,599.164,929.570,3,-41.339
1.000,15,620.882,427.800,8,-44.851
1.000,16,554.261,704.874,7,-40.016
1.000,17,795.274,73.317,6,-37.771
1.000,18,623.925,546.645,5,-41.812
1.000,19,60.508,724.516,2,-43.399
1.000,20,548.425,608.836,10,-45.243
1.000,21,384.314,753.253,6,-37.315
1.000,22,385.540,787.948,7,-39.686
1.000,23,941.097,25.531,5,-42.334
1.000,24,745.963,430.279,7,-38.981
1.000,25,451.382,997.419,3,-47.435
1.000,26,807.562,973.582,2,-44.084
1.000,27,161.977,550.747,8,-42.754
1.000,28,875.543,534.590,7,-39.220
1.000,29,376.563,363.080,9,-43.570
1.000,30,886.366,581.818,9,-46.196
1.000,31,194.659,511.642,8,-40.042
1.000,32,737.790,430.092,7,-37.968
1.000,33,437.419,528.612,6,-42.087
1.000,34,401.638,789.389,7,-38.198
1.000,35,414.489,319.156,10,-41.870
1.000,36,287.711,922.093,3,-36.357
1.000,37,670.638,988.442,3,-44.791
1.000,38,57.522,383.833,4,-29.165
1.000,39,14.303,971.990,1,-53.018
1.000,40,946.063,76.986,4,-36.749
1.000,41,420.334,298.677,10,-39.648
1.000,42,754.617,76.996,6,-40.550
1.000,43,921.202,55.609,6,-40.663
1.000,44,682.771,320.906,6,-39.893
1.000,45,62.036,375.522,4,-30.675
1.000,46,897.533,695.650,5,-47.568
1.000,47,354.656,184.138,7,-38.455
1.000,48,468.765,725.923,9,-44.232
1.000,49,8.050,176.601,2,-46.144
1.000,50,925.621,374.612,4,-47.351
1.000,51,860.366,883.626,1,-45.870
1.000,52,690.023,711.474,6,-45.857
1.000,53,791.446,659.835,7,-38.517
1.000,54,826.905,514.828,8,-42.264
1.000,55,791.569,32.659,7,-41.749
1.000,56,439.205,141.918,4,-48.396
1.000,57,180.609,261.813,5,-46.051
1.000,58,577.996,593.948,8,-39.704
1.000,59,520.256,656.477,7,-41.513
1.000,60,331.417,940.445,4,-39.818
1.000,61,332.915,877.619,7,-42.203
1.000,62,164.648,497.700,6,-41.304
1.000,63,457.977,581.646,8,-45.920
1.000,64,615.123,807.025,4,-47.997
1.000,65,809.831,697.136,6,-42.430
1.000,66,929.099,263.721,4,-43.836
1.000,67,983.687,505.201,5,-49.993
1.000,68,701.440,330.165,6,-42.847
1.000,69,637.026,79.526,3,-36.566
1.000,70,538.740,251.017,8,-44.840
1.000,71,340.672,463.212,7,-44.119
1.000,72,751.240,725.528,4,-39.683
1.000,73,583.306,228.582,6,-43.556
