time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,424.477,64.253,4,-36.744
1.000,1,456.881,269.853,5,-42.519
1.000,2,367.836,436.003,7,-42.548
1.000,3,361.041,493.768,4,-38.407
1.000,4,372.804,43.061,4,-46.092
1.000,5,358.359,299.150,9,-36.706
1.000,6,304.350,37.826,4,-45.451
1.000,7,226.222,375.153,4,-40.680
1.000,8,204.109,60.884,5,-47.659
1.000,9,115.219,135.832,6,-41.188
1.000,10,406.020,164.300,8,-48.338
1.000,11,158.708,469.609,2,-46.780
1.000,12,30.150,214.318,4,-37.909
1.000,13,498.311,224.621,3,-44.544
1.000,14,258.418,319.128,8,-44.822
1.000,15,322.772,371.813,9,-42.320
1.000,16,51.373,46.267,3,-43.034
1.000,17,127.167,163.495,8,-45.328
1.000,18,431.990,481.312,4,-42.140
1.000,19,214.733,314.543,6,-41.623
1.000,20,365.800,293.405,9,-43.116
1.000,21,403.499,348.882,7,-42.829
1.000,22,13.451,292.201,3,-38.104
1.000,23,32.809,401.065,3,-46.718
1.000,24,235.748,183.614,6,-43.511
1.000,25,112.528,26.066,4,-43.367
1.000,26,33.259,269.630,4,-39.156
1.000,27,442.140,66.227,4,-39.887
1.000,28,331.743,482.421,4,-37.619
1.000,29,268.255,211.765,7,-46.171
2.000,0,418.519,64.140,4,-35.236
2.000,1,440.453,272.985,5,-44.997
2.000,2,372.223,420.400,7,-41.651
2.000,3,356.497,480.477,5,-38.005
2.000,4,379.744,52.934,4,-38.470
2.000,5,348.166,296.367,10,-42.016
2.000,6,305.455,43.482,5,-45.800
2.000,7,230.832,360.897,6,-42.251
2.000,8,209.751,64.712,6,-50.498
2.000,9,106.345,142.166,7,-43.838
2.000,10,398.068,160.574,9,-46.116
2.000,11,162.077,454.404,3,-45.389
2.000,12,44.432,206.681,4,-41.302
2.000,13,489.234,218.576,3,-44.718
2.000,14,253.326,309.488,8,-43.673
2.000,15,332.509,378.933,10,-44.148
2.000,16,56.252,49.693,3,-43.090
2.000,17,125.043,169.459,8,-42.552
2.000,18,429.232,474.350,5,-46.671
2.000,19,211.947,324.287,6,-43.086
2.000,20,369.668,280.435,9,-43.807
2.000,21,398.373,343.134,9,-44.769
2.000,22,25.793,301.068,3,-38.056
2.000,23,40.571,384.925,3,-46.810
2.000,24,221.603,173.265,5,-43.736
2.000,25,111.400,44.648,4,-42.580
2.000,26,49.742,266.344,5,-42.179
2.000,27,427.426,66.903,4,-32.905
2.000,28,332.332,462.965,6,-42.185
2.000,29,261.072,198.463,8,-44.712
3.000,0,412.560,64.027,4,-33.508
3.000,1,424.026,276.118,7,-43.192
3.000,2,376.610,404.796,8,-41.230
3.000,3,351.953,467.185,5,-42.638
3.000,4,386.685,62.808,4,-34.498
3.000,5,337.973,293.585,10,-42.058
3.000,6,306.559,49.138,6,-45.424
3.000,7,235.442,346.641,6,-42.933
3.000,8,215.393,68.540,6,-45.450
3.000,9,97.470,148.500,7,-42.794
