time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,369.252,131.353,9,-42.245
1.000,1,210.319,1.662,4,-43.330
1.000,2,81.908,4.255,4,-45.541
1.000,3,421.880,76.285,6,-43.489
1.000,4,221.556,296.900,9,-42.014
1.000,5,334.214,235.878,11,-44.231
1.000,6,423.461,161.247,8,-40.115
1.000,7,205.906,38.576,4,-44.872
1.000,8,397.851,119.947,7,-37.626
1.000,9,24.205,123.826,4,-44.307
1.000,10,132.672,352.603,7,-43.373
1.000,11,77.249,456.634,3,-48.926
1.000,12,318.380,455.667,2,-45.156
1.000,13,113.339,231.274,10,-48.396
1.000,14,355.246,160.665,11,-43.168
1.000,15,181.431,232.332,10,-44.024
1.000,16,438.518,408.937,3,-49.538
1.000,17,163.087,311.051,8,-44.580
1.000,18,267.568,245.870,11,-42.798
1.000,19,344.084,335.282,8,-44.537
1.000,20,223.796,104.603,8,-46.627
1.000,21,28.745,486.490,1,-31.172
1.000,22,393.506,295.292,7,-43.970
1.000,23,60.448,158.569,4,-41.663
1.000,24,495.528,185.305,6,-44.759
1.000,25,250.503,195.418,12,-45.848
1.000,26,40.949,320.790,4,-45.519
1.000,27,388.274,216.954,11,-42.555
1.000,28,219.279,329.557,9,-43.122
1.000,29,136.600,112.674,9,-45.305
2.000,0,353.012,128.665,8,-39.937
2.000,1,201.805,7.376,4,-42.153
2.000,2,90.276,14.535,5,-41.858
2.000,3,404.692,75.500,6,-43.765
2.000,4,210.184,313.114,9,-41.855
2.000,5,318.392,244.132,12,-44.361
2.000,6,426.766,180.574,8,-41.312
2.000,7,199.685,52.649,4,-40.577
2.000,8,392.950,132.701,7,-38.682
2.000,9,30.088,137.273,4,-43.824
2.000,10,134.360,346.811,7,-43.910
2.000,11,87.824,456.648,3,-43.887
2.000,12,306.748,441.892,2,-41.060
2.000,13,122.328,226.425,11,-44.314
2.000,14,361.309,152.562,10,-40.086
2.000,15,189.331,228.927,11,-42.798
2.000,16,435.494,400.552,3,-44.998
2.000,17,176.492,313.316,8,-41.172
2.000,18,251.411,240.065,11,-43.048
2.000,19,332.705,341.314,8,-45.434
2.000,20,230.453,111.438,8,-47.376
2.000,21,40.916,478.502,2,-43.985
2.000,22,396.894,305.382,6,-44.541
2.000,23,76.625,153.931,5,-40.096
2.000,24,488.898,195.376,6,-46.671
2.000,25,239.112,210.659,12,-43.558
2.000,26,51.831,329.358,5,-43.668
2.000,27,369.158,214.756,11,-44.522
2.000,28,207.061,327.878,9,-40.760
2.000,29,138.165,118.988,9,-44.384
3.000,0,336.773,125.976,9,-42.417
3.000,1,193.290,13.090,4,-43.496
3.000,2,98.643,24.815,5,-48.875
3.000,3,387.505,74.715,5,-45.955
3.000,4,198.812,329.328,11,-37.473
3.000,5,302.571,252.386,14,-47.152
3.000,6,430.071,199.902,8,-41.568
3.000,7,193.465,66.722,5,-43.169
3.000,8,388.049,145.454,7,-42.076
3.000,9,35.971,150.720,4,-43.799
3.000,10,136.047,341.019,9,-41.475
3.000,11,98.398,456.663,3,-42.205
3.000,12,295.116,428.118,4,-51.802
3.000,13,131.316,221.577,12,-43.833
3.000,14,367.373,144.460,8,-40.966
3.000,15,197.232,225.522,11,-41.282
3.000,16,432.471,392.166,3,-48.845
3.000,17,189.897,315.580,10,-39.226
3.000,18,235.254,234.260,13,-41.681
3.000,19,321.327,347.347,9,-47.320
3.000,20,237.111,118.272,12,-46.991
3.000,21,53.087,470.515,2,-36.722
3.000,22,400.282,315.471,6,-43.741
3.000,23,92.801,149.294,7,-48.018
3.000,24,482.269,205.446,5,-46.516
3.000,25,227.722,225.901,12,-42.276
3.000,26,62.712,337.926,7,-46.260
3.000,27,350.043,212.559,12,-42.222
3.000,28,194.842,326.199,11,-36.683
3.000,29,139.731,125.302,10,-43.461
4.000,0,320.534,123.288,9,-45.459
4.000,1,184.775,18.804,5,-39.674
4.000,2,107.010,35.095,5,-43.052
4.000,3,370.317,73.930,5,-45.547
4.000,4,187.440,345.542,12,-42.244
4.000,5,286.749,260.641,12,-43.557
4.000,6,433.376,219.229,6,-43.234
4.000,7,187.245,80.795,8,-44.089
4.000,8,383.148,158.207,8,-42.004
4.000,9,41.853,164.167,4,-43.505
4.000,10,137.735,335.227,10,-43.347
