time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,702.331,515.317,6,-42.503
1.000,1,757.152,69.208,2,-46.833
1.000,2,958.273,672.489,9,-39.487
1.000,3,846.476,634.188,9,-43.324
1.000,4,764.285,373.735,4,-45.654
1.000,5,866.722,484.853,6,-42.869
1.000,6,749.505,999.602,4,-40.394
1.000,7,77.364,887.769,6,-44.382
1.000,8,80.714,352.102,7,-41.509
1.000,9,959.734,639.595,9,-38.989
1.000,10,297.317,621.912,4,-45.290
1.000,11,461.069,404.287,3,-43.902
1.000,12,976.219,590.240,10,-44.733
1.000,13,375.465,970.770,6,-42.250
1.000,14,181.039,655.077,6,-43.141
1.000,15,221.515,397.772,9,-42.379
1.000,16,133.502,395.918,9,-41.737
1.000,17,472.309,498.336,4,-42.604
1.000,18,910.832,465.022,7,-41.307
1.000,19,921.195,628.679,9,-38.180
1.000,20,195.585,866.359,8,-43.920
1.000,21,194.942,632.242,7,-40.576
1.000,22,743.804,570.700,8,-40.152
1.000,23,653.642,844.903,4,-44.756
1.000,24,478.773,981.974,4,-46.005
1.000,25,254.050,106.759,6,-44.866
1.000,26,707.599,717.656,6,-48.697
1.000,27,852.495,686.765,8,-41.833
1.000,28,992.974,23.640,4,-43.124
1.000,29,338.002,108.183,5,-41.115
1.000,30,721.445,321.236,4,-37.367
1.000,31,975.154,800.061,2,-46.240
1.000,32,107.863,982.052,5,-45.429
1.000,33,635.280,401.904,5,-45.486
1.000,34,255.111,901.798,7,-41.973
1.000,35,227.460,231.803,7,-42.755
1.000,36,413.012,960.201,4,-40.071
1.000,37,358.770,236.018,6,-42.889
1.000,38,964.578,90.053,5,-33.368
1.000,39,337.829,452.829,7,-46.168
1.000,40,840.478,607.983,10,-43.903
1.000,41,302.122,36.308,3,-40.595
1.000,42,50.360,344.300,5,-36.554
1.000,43,181.076,192.126,3,-44.910
1.000,44,697.676,575.113,7,-41.524
1.000,45,40.804,90.725,2,-46.711
1.000,46,945.072,353.648,6,-42.401
1.000,47,300.636,352.068,8,-45.782
1.000,48,920.034,145.334,7,-41.745
1.000,49,511.909,718.434,4,-45.363
1.000,50,121.119,391.552,9,-38.677
1.000,51,249.117,988.415,6,-44.999
1.000,52,729.721,853.084,6,-43.535
1.000,53,204.074,390.428,9,-40.299
1.000,54,996.951,443.954,7,-46.343
1.000,55,864.077,224.815,5,-41.197
1.000,56,794.734,930.482,4,-41.161
1.000,57,668.959,614.486,7,-38.532
1.000,58,625.703,75.062,3,-43.708
1.000,59,700.492,304.714,4,-42.365
1.000,60,335.903,217.002,7,-42.124
1.000,61,510.161,836.272,3,-46.214
1.000,62,797.593,224.205,5,-44.184
1.000,63,589.080,195.111,3,-39.627
1.000,64,350.388,836.635,5,-48.226
1.000,65,351.296,262.598,5,-36.531
1.000,66,921.416,207.520,8,-42.862
1.000,67,949.906,712.303,8,-42.186
1.000,68,333.868,993.964,5,-44.750
1.000,69,641.785,496.640,6,-44.222
1.000,70,93.938,852.070,7,-44.238
1.000,71,135.324,6.651,1,-44.872
1.000,72,181.338,774.996,7,-45.953
1.000,73,215.972,438.192,9,-42.677
1.000,74,962.196,101.009,5,-33.782
1.000,75,113.989,175.417,3,-45.862
1.000,76,678.978,604.227,7,-37.761
1.000,77,985.504,496.668,9,-48.308
1.000,78,572.301,153.570,3,-36.463
1.000,79,365.076,119.584,6,-42.618
1.000,80,766.039,976.677,4,-38.777
1.000,81,699.366,901.626,5,-45.991
1.000,82,558.050,647.696,4,-41.060
1.000,83,136.666,567.642,5,-41.213
1.000,84,221.460,858.645,8,-43.211
1.000,85,464.501,603.875,5,-46.547
1.000,86,129.801,427.632,11,-41.423
1.000,87,562.060,222.338,2,-31.667
1.000,88,944.091,127.205,6,-38.224
1.000,89,180.034,553.569,7,-42.547
1.000,90,899.498,438.360,7,-41.680
1.000,91,799.351,5.703,1,-44.915
1.000,92,415.697,704.375,4,-48.011
1.000,93,423.592,472.374,4,-41.511
1.000,94,20.232,936.287,3,-44.141
1.000,95,138.468,768.403,7,-45.870
1.000,96,154.846,492.811,9,-43.532
1.000,97,2.139,364.362,5,-43.693
1.000,98,932.368,620.745,9,-39.740
1.000,99,932.954,337.297,6,-43.375
2.000,0,702.331,515.317,6,-40.035
2.000,1,757.152,69.208,2,-42.740
2.000,2,958.273,672.489,9,-40.089
2.000,3,846.476,634.188,9,-43.424
2.000,4,764.285,373.735,4,-43.673
2.000,5,866.722,484.853,6,-39.357
2.000,6,749.505,999.602,4,-43.394
2.000,7,77.364,887.769,6,-43.982
2.000,8,80.714,352.102,7,-41.710
2.000,9,959.734,639.595,9,-39.006
2.000,10,297.317,621.912,4,-49.504
2.000,11,461.069,404.287,3,-43.210
2.000,12,976.219,590.240,10,-42.941
2.000,13,375.465,970.770,6,-42.365
2.000,14,181.039,655.077,6,-41.642
2.000,15,221.515,397.772,9,-41.777
2.000,16,133.502,395.918,9,-39.113
2.000,17,472.309,498.336,4,-43.028
2.000,18,910.832,465.022,7,-36.888
2.000,19,921.195,628.679,9,-38.393
2.000,20,195.585,866.359,8,-41.072
2.000,21,194.942,632.242,7,-46.551
2.000,22,743.804,570.700,8,-43.467
2.000,23,653.642,844.903,4,-44.341
2.000,24,478.773,981.974,4,-46.016
2.000,25,254.050,106.759,6,-44.999
2.000,26,707.599,717.656,6,-47.632
