time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,197.140,197.251,13,-46.539
1.000,1,269.610,324.117,13,-41.135
1.000,2,387.410,468.771,4,-46.747
1.000,3,279.866,350.951,10,-43.487
1.000,4,332.458,192.752,9,-41.787
1.000,5,164.094,248.515,12,-44.671
1.000,6,0.922,178.532,7,-35.146
1.000,7,490.739,460.750,2,-44.990
1.000,8,252.061,304.682,13,-41.199
1.000,9,92.533,213.802,12,-41.133
1.000,10,233.212,315.207,11,-39.883
1.000,11,293.527,213.444,11,-43.318
1.000,12,388.901,337.434,8,-44.420
1.000,13,81.747,212.446,11,-36.302
1.000,14,243.510,113.227,6,-43.770
1.000,15,267.930,427.402,7,-47.584
1.000,16,307.217,293.910,12,-41.454
1.000,17,17.262,185.377,7,-36.301
1.000,18,141.697,78.852,6,-42.656
1.000,19,432.986,354.738,6,-45.930
1.000,20,61.934,280.474,9,-41.361
1.000,21,32.741,205.630,8,-35.360
1.000,22,10.278,209.881,7,-32.457
1.000,23,184.965,103.097,6,-37.544
1.000,24,463.771,202.844,2,-51.150
1.000,25,354.477,258.893,11,-42.702
1.000,26,148.038,340.458,10,-48.057
1.000,27,198.638,76.740,4,-39.221
1.000,28,25.040,257.904,9,-42.717
1.000,29,329.768,270.823,10,-40.313
2.000,0,214.114,190.270,14,-45.775
2.000,1,264.659,318.958,13,-41.984
2.000,2,378.641,462.327,5,-49.294
2.000,3,270.061,364.466,12,-41.779
2.000,4,317.743,184.268,8,-43.191
2.000,5,157.013,262.031,13,-44.920
2.000,6,7.786,175.396,7,-35.361
2.000,7,483.955,454.743,2,-50.261
2.000,8,239.398,318.392,12,-39.681
2.000,9,96.983,223.457,12,-39.401
2.000,10,232.029,323.730,11,-40.451
2.000,11,307.438,226.017,12,-43.198
2.000,12,388.445,323.715,10,-41.758
2.000,13,91.551,212.617,12,-38.751
2.000,14,236.017,127.619,6,-43.456
2.000,15,265.391,422.989,7,-44.845
2.000,16,291.482,288.592,14,-40.916
2.000,17,18.163,173.893,7,-35.142
2.000,18,145.503,84.607,6,-41.125
2.000,19,414.481,354.812,8,-44.467
2.000,20,69.929,269.824,9,-41.494
2.000,21,42.096,199.656,8,-36.368
2.000,22,22.160,213.966,8,-36.732
