time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,281.556,187.386,3,-45.934
1.000,1,385.094,124.695,6,-44.415
1.000,2,439.754,128.419,5,-40.859
1.000,3,433.097,11.069,3,-46.153
1.000,4,21.892,214.102,6,-37.149
1.000,5,103.618,363.767,8,-40.575
1.000,6,107.349,496.338,4,-47.075
1.000,7,115.627,341.187,7,-46.746
1.000,8,54.371,369.150,7,-40.825
1.000,9,24.947,201.551,6,-35.765
1.000,10,11.210,289.968,8,-41.352
1.000,11,293.489,348.259,7,-40.175
1.000,12,183.591,481.399,4,-41.922
1.000,13,53.319,174.001,8,-41.930
1.000,14,9.221,41.626,2,-47.054
1.000,15,232.518,10.594,0,-1000.000
1.000,16,303.638,357.526,7,-36.342
1.000,17,414.131,114.795,5,-39.119
1.000,18,267.076,449.880,8,-45.083
1.000,19,375.656,463.174,5,-44.695
1.000,20,257.502,320.427,8,-44.404
1.000,21,186.365,408.422,9,-44.009
1.000,22,362.911,402.846,6,-42.957
1.000,23,322.081,332.053,6,-37.852
1.000,24,19.154,137.376,5,-38.639
1.000,25,460.714,231.930,4,-44.284
1.000,26,22.707,293.651,8,-40.431
1.000,27,65.380,239.736,10,-43.114
1.000,28,448.674,202.751,4,-42.874
1.000,29,171.893,155.240,3,-44.155
2.000,0,275.169,203.687,5,-43.976
2.000,1,375.265,138.402,6,-42.483
2.000,2,429.562,125.142,5,-45.548
2.000,3,422.089,14.910,3,-42.480
2.000,4,29.429,222.653,7,-36.146
2.000,5,112.076,360.080,8,-39.800
2.000,6,118.895,489.672,5,-47.569
2.000,7,127.259,339.481,8,-42.445
2.000,8,60.112,367.707,7,-39.813
2.000,9,40.367,207.484,7,-38.539
2.000,10,20.722,301.301,8,-38.838
2.000,11,285.108,332.822,8,-38.448
2.000,12,181.921,476.085,5,-43.804
2.000,13,59.672,182.775,8,-41.896
2.000,14,17.425,45.185,2,-44.796
2.000,15,249.585,11.786,0,-1000.000
2.000,16,286.298,356.662,7,-38.587
2.000,17,408.653,113.092,5,-39.425
2.000,18,257.326,450.748,9,-45.933
2.000,19,376.438,444.292,5,-45.923
2.000,20,259.496,303.838,8,-44.731
2.000,21,202.140,419.668,9,-42.926
2.000,22,360.868,394.077,6,-42.147
2.000,23,310.587,327.650,8,-42.417
2.000,24,25.456,139.441,5,-42.206
2.000,25,451.325,226.253,4,-37.432
2.000,26,33.373,297.363,8,-38.025
2.000,27,70.182,245.928,10,-41.565
2.000,28,438.942,206.370,4,-37.882
2.000,29,175.325,165.937,4,-45.628
3.000,0,268.782,219.988,6,-42.451
3.000,1,365.436,152.109,6,-42.478
3.000,2,419.370,121.866,5,-42.037
3.000,3,411.082,18.751,4,-42.918
3.000,4,36.966,231.203,8,-37.691
3.000,5,120.534,356.393,9,-41.117
3.000,6,130.440,483.007,6,-43.804
3.000,7,138.891,337.774,13,-44.462
3.000,8,65.853,366.263,7,-41.189
3.000,9,55.786,213.417,8,-39.793
3.000,10,30.234,312.634,8,-37.882
3.000,11,276.727,317.385,9,-43.184
3.000,12,180.251,470.771,6,-45.810
3.000,13,66.025,191.549,8,-38.773
3.000,14,25.630,48.744,2,-42.430
3.000,15,266.653,12.978,1,-52.338
3.000,16,268.958,355.798,11,-43.587
3.000,17,403.174,111.389,5,-35.772
3.000,18,247.575,451.615,8,-44.588
3.000,19,377.220,425.409,5,-45.553
3.000,20,261.490,287.250,7,-41.148
3.000,21,217.914,430.913,9,-42.131
3.000,22,358.824,385.307,7,-45.691
3.000,23,299.093,323.248,8,-40.685
3.000,24,31.757,141.506,5,-43.651
3.000,25,441.936,220.576,4,-41.903
3.000,26,44.039,301.074,8,-39.156
3.000,27,74.984,252.120,10,-39.288
3.000,28,429.210,209.989,4,-37.649
3.000,29,178.757,176.635,5,-48.171
4.000,0,262.394,236.289,7,-42.325
4.000,1,355.607,165.816,7,-44.920
4.000,2,409.178,118.589,5,-36.608
4.000,3,400.074,22.592,4,-41.929
4.000,4,44.504,239.754,10,-40.467
4.000,5,128.992,352.706,13,-44.531
4.000,6,141.985,476.341,6,-45.061
4.000,7,150.522,336.067,16,-46.091
4.000,8,71.594,364.819,9,-44.533
4.000,9,71.205,219.349,10,-41.125
