time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,209.907,69.016,5,-43.948
1.000,1,1.720,255.486,5,-39.721
1.000,2,16.300,5.043,0,-1000.000
1.000,3,360.149,201.045,9,-42.262
1.000,4,351.824,398.732,5,-35.992
1.000,5,479.580,147.469,4,-42.026
1.000,6,15.644,312.842,7,-41.559
1.000,7,32.701,298.365,7,-39.582
1.000,8,433.971,150.636,6,-43.709
1.000,9,125.050,156.083,5,-41.332
1.000,10,366.337,327.505,7,-41.451
1.000,11,64.169,230.036,8,-43.169
1.000,12,352.205,423.875,5,-41.417
1.000,13,331.597,30.670,5,-40.249
1.000,14,243.689,354.643,10,-43.923
1.000,15,154.281,263.025,10,-46.635
1.000,16,42.305,349.648,9,-44.757
1.000,17,114.961,427.095,5,-37.011
1.000,18,315.663,82.715,8,-40.972
1.000,19,148.724,370.458,8,-42.625
1.000,20,120.068,142.832,5,-38.540
1.000,21,297.801,151.877,8,-46.221
1.000,22,196.346,426.383,4,-38.212
1.000,23,375.693,64.425,8,-42.862
1.000,24,94.082,214.421,8,-43.068
1.000,25,347.862,276.724,8,-43.573
1.000,26,339.171,348.142,7,-41.889
1.000,27,365.403,9.175,3,-37.776
1.000,28,362.573,208.804,9,-41.504
1.000,29,141.154,409.432,6,-38.998
2.000,0,203.070,79.973,4,-43.696
2.000,1,10.303,267.454,5,-38.379
2.000,2,28.708,4.974,0,-1000.000
2.000,3,354.621,197.017,9,-42.739
2.000,4,359.556,393.199,5,-41.275
2.000,5,479.235,136.619,4,-47.420
2.000,6,20.538,310.377,5,-37.937
2.000,7,45.497,296.564,8,-41.274
2.000,8,422.955,167.092,6,-45.255
2.000,9,130.494,153.716,5,-34.754
2.000,10,368.471,315.408,7,-43.176
2.000,11,63.311,221.624,8,-41.001
2.000,12,356.574,408.211,6,-39.467
2.000,13,346.011,30.957,4,-34.022
2.000,14,235.971,347.562,10,-49.489
2.000,15,173.821,266.277,9,-45.682
2.000,16,55.395,351.893,8,-44.528
2.000,17,128.019,429.024,5,-42.416
2.000,18,299.631,79.154,7,-39.368
2.000,19,157.238,378.114,7,-39.767
2.000,20,125.588,154.485,5,-36.921
2.000,21,297.358,160.402,9,-44.669
2.000,22,211.956,423.505,5,-43.010
2.000,23,372.232,71.795,8,-43.851
2.000,24,106.597,204.105,7,-40.331
2.000,25,352.605,268.655,9,-42.349
2.000,26,344.366,336.521,7,-41.193
2.000,27,357.440,23.594,4,-40.441
2.000,28,349.668,200.904,9,-39.846
2.000,29,150.011,400.912,7,-39.776
3.000,0,196.233,90.929,5,-45.910
3.000,1,18.885,279.421,5,-38.158
3.000,2,41.115,4.905,0,-1000.000
3.000,3,349.093,192.988,9,-39.361
3.000,4,367.288,387.667,6,-40.927
3.000,5,478.891,125.768,3,-46.240
3.000,6,25.431,307.913,5,-37.646
3.000,7,58.293,294.763,9,-43.143
3.000,8,411.938,183.548,7,-42.217
3.000,9,135.938,151.348,5,-38.585
3.000,10,370.605,303.310,8,-41.414
3.000,11,62.453,213.212,8,-42.476
3.000,12,360.944,392.546,6,-38.500
3.000,13,360.425,31.244,3,-28.172
3.000,14,228.253,340.482,9,-44.680
3.000,15,193.362,269.529,9,-46.389
3.000,16,68.485,354.139,7,-42.698
