time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,334.211,168.194,4,-48.224
1.000,1,158.086,47.614,3,-35.812
1.000,2,206.821,324.559,9,-43.822
1.000,3,223.947,471.607,6,-41.604
1.000,4,226.755,357.087,10,-44.404
1.000,5,437.323,279.289,4,-40.363
1.000,6,147.317,146.022,6,-43.559
1.000,7,42.812,364.080,4,-41.557
1.000,8,305.797,27.494,6,-46.764
1.000,9,126.313,394.868,9,-44.009
1.000,10,163.071,57.053,3,-35.163
1.000,11,475.503,260.469,4,-36.791
1.000,12,477.498,28.356,6,-35.457
1.000,13,24.476,170.853,2,-49.930
1.000,14,180.059,234.322,5,-42.848
1.000,15,465.060,444.016,1,-45.506
1.000,16,189.521,425.707,7,-40.683
1.000,17,109.474,476.857,5,-37.018
1.000,18,357.265,349.159,6,-48.101
1.000,19,465.863,247.097,5,-40.328
1.000,20,342.550,286.399,7,-45.257
1.000,21,482.226,56.930,6,-31.367
1.000,22,130.551,256.169,8,-43.446
1.000,23,427.298,77.006,8,-37.428
1.000,24,378.742,89.829,8,-43.030
1.000,25,472.746,49.971,6,-32.482
1.000,26,482.126,102.557,7,-40.043
1.000,27,432.165,21.374,7,-37.982
1.000,28,189.406,280.977,7,-45.699
1.000,29,119.731,441.293,7,-40.964
2.000,0,324.076,176.990,6,-49.661
2.000,1,173.171,50.338,3,-40.203
2.000,2,203.996,319.316,10,-42.877
2.000,3,231.423,467.262,5,-50.468
2.000,4,237.397,345.625,10,-42.888
2.000,5,428.711,283.831,6,-41.758
2.000,6,144.612,162.069,6,-42.899
2.000,7,57.743,352.514,5,-46.225
2.000,8,313.651,36.184,6,-46.967
2.000,9,126.949,377.566,10,-44.991
2.000,10,168.473,60.444,3,-33.985
2.000,11,460.234,253.022,5,-39.500
2.000,12,468.408,37.663,6,-34.571
2.000,13,29.678,169.180,2,-48.828
2.000,14,185.707,244.185,7,-41.041
2.000,15,451.235,429.839,2,-53.095
2.000,16,198.812,418.110,7,-43.517
