time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,456.631,135.950,7,-46.480
1.000,1,447.705,7.710,5,-40.843
1.000,2,473.732,283.317,6,-46.887
1.000,3,397.751,8.743,5,-41.560
1.000,4,130.767,39.043,6,-37.381
1.000,5,176.756,338.055,5,-48.863
1.000,6,494.088,361.095,5,-37.404
1.000,7,406.552,356.305,6,-39.512
1.000,8,82.627,36.869,6,-36.481
1.000,9,462.727,366.341,5,-37.746
1.000,10,185.766,217.372,6,-48.308
1.000,11,109.549,89.532,7,-40.056
1.000,12,38.545,16.150,5,-41.669
1.000,13,447.882,470.055,4,-45.613
1.000,14,302.152,9.836,4,-47.112
1.000,15,72.215,46.664,6,-33.440
1.000,16,316.385,328.138,2,-47.133
1.000,17,188.593,93.170,7,-45.383
1.000,18,72.710,311.299,5,-41.912
1.000,19,451.404,37.497,4,-37.967
1.000,20,299.709,177.921,5,-44.429
1.000,21,78.329,268.539,5,-46.318
1.000,22,90.792,404.714,4,-45.048
1.000,23,38.137,92.776,5,-43.215
1.000,24,414.658,203.337,5,-40.242
1.000,25,253.304,485.084,0,-1000.000
1.000,26,363.640,162.807,4,-35.923
1.000,27,370.239,129.641,8,-43.667
1.000,28,4.703,345.166,3,-41.678
1.000,29,497.828,418.681,5,-44.768
2.000,0,456.809,146.771,7,-42.618
2.000,1,449.310,15.936,5,-41.627
2.000,2,467.036,274.019,7,-45.573
2.000,3,393.330,13.359,6,-45.416
2.000,4,120.338,48.270,6,-37.187
2.000,5,182.524,332.366,5,-45.743
2.000,6,483.777,356.748,5,-38.260
2.000,7,395.039,356.803,6,-40.770
2.000,8,94.039,44.642,6,-34.159
2.000,9,447.994,356.656,6,-40.332
2.000,10,180.545,222.978,5,-48.127
2.000,11,115.021,93.784,7,-37.431
2.000,12,46.662,28.909,5,-35.740
2.000,13,444.492,462.574,4,-40.128
2.000,14,310.124,27.469,6,-47.838
2.000,15,70.850,54.177,6,-32.281
2.000,16,316.680,310.458,4,-43.154
2.000,17,196.589,90.980,8,-45.594
2.000,18,67.838,323.227,4,-35.866
2.000,19,443.524,51.997,6,-41.401
2.000,20,299.797,192.674,6,-42.408
2.000,21,94.344,272.026,5,-42.222
2.000,22,98.348,396.437,4,-43.702
2.000,23,53.015,92.931,6,-39.486
2.000,24,430.356,204.044,5,-40.804
2.000,25,261.030,468.894,0,-1000.000
2.000,26,378.303,160.237,8,-43.549
2.000,27,365.612,139.572,8,-45.857
2.000,28,11.185,339.278,3,-45.535
2.000,29,480.266,421.631,5,-41.079
3.000,0,456.986,157.592,6,-40.497
3.000,1,450.916,24.162,5,-42.675
3.000,2,460.340,264.721,7,-46.510
3.000,3,388.908,17.974,5,-39.953
3.000,4,109.908,57.497,6,-32.279
3.000,5,188.293,326.676,6,-45.857
3.000,6,473.465,352.400,5,-43.679
3.000,7,383.527,357.302,7,-45.435
3.000,8,105.452,52.415,6,-33.406
3.000,9,433.261,346.970,7,-40.740
3.000,10,175.324,228.584,5,-46.741
3.000,11,120.493,98.036,7,-38.423
3.000,12,54.779,41.669,5,-35.137
3.000,13,441.103,455.092,4,-44.431
3.000,14,318.096,45.103,6,-44.274
3.000,15,69.486,61.689,6,-34.900
3.000,16,316.975,292.777,6,-45.307
3.000,17,204.585,88.790,7,-43.566
3.000,18,62.966,335.156,4,-40.276
3.000,19,435.644,66.496,7,-44.237
3.000,20,299.885,207.428,5,-46.972
3.000,21,110.358,275.514,5,-42.244
3.000,22,105.904,388.161,4,-48.395
3.000,23,67.894,93.087,6,-34.617
3.000,24,446.055,204.752,7,-42.414
3.000,25,268.757,452.705,2,-45.974
3.000,26,392.965,157.668,9,-43.365
3.000,27,360.985,149.503,8,-43.757
3.000,28,17.667,333.390,3,-44.330
3.000,29,462.704,424.581,4,-39.186
4.000,0,457.163,168.412,6,-43.281
4.000,1,452.521,32.389,5,-42.030
4.000,2,453.644,255.423,8,-43.605
4.000,3,384.486,22.590,5,-40.609
4.000,4,99.479,66.725,6,-34.180
4.000,5,194.061,320.987,7,-46.085
4.000,6,463.154,348.052,6,-43.144
4.000,7,372.015,357.800,7,-44.689
4.000,8,116.864,60.189,6,-35.971
4.000,9,418.528,337.285,7,-42.279
4.000,10,170.103,234.190,4,-44.197
4.000,11,125.964,102.288,7,-38.088
4.000,12,62.896,54.429,5,-29.243
4.000,13,437.713,447.610,4,-39.762
4.000,14,326.068,62.737,6,-43.182
4.000,15,68.121,69.202,6,-33.586
4.000,16,317.270,275.097,6,-42.341
4.000,17,212.581,86.600,6,-42.795
4.000,18,61.712,338.227,4,-40.782
4.000,19,427.765,80.996,7,-44.592
4.000,20,299.973,222.181,5,-42.672
4.000,21,126.373,279.001,5,-41.771
4.000,22,113.460,379.884,4,-42.536
4.000,23,82.772,93.242,6,-31.664
4.000,24,461.753,205.459,7,-42.496
4.000,25,276.483,436.515,2,-46.746
4.000,26,407.628,155.098,9,-41.335
4.000,27,356.357,159.434,9,-43.786
4.000,28,24.150,327.502,3,-38.045
4.000,29,445.143,427.530,4,-36.314
5.000,0,457.340,179.233,6,-40.033
5.000,1,454.127,40.615,5,-44.176
5.000,2,446.948,246.125,9,-43.617
5.000,3,380.064,27.205,5,-39.356
5.000,4,89.050,75.952,6,-34.059
5.000,5,199.829,315.298,7,-43.157
5.000,6,452.843,343.705,6,-43.331
5.000,7,360.502,358.299,8,-44.711
5.000,8,128.277,67.962,6,-34.753
5.000,9,403.794,327.599,8,-44.241
5.000,10,164.882,239.796,6,-43.919
5.000,11,131.436,106.540,7,-37.833
5.000,12,71.013,67.188,5,-27.421
5.000,13,434.324,440.129,4,-39.716
5.000,14,334.041,80.370,6,-39.745
5.000,15,66.757,76.714,5,-28.778
5.000,16,317.566,257.417,7,-43.104
5.000,17,220.577,84.410,5,-41.075
5.000,18,74.103,338.846,5,-41.535
5.000,19,419.885,95.495,7,-40.916
5.000,20,300.021,230.258,8,-44.109
5.000,21,142.388,282.488,5,-40.544
5.000,22,121.017,371.608,5,-41.098
5.000,23,97.650,93.398,6,-32.908
5.000,24,477.452,206.166,7,-43.885
5.000,25,284.210,420.325,3,-41.463
5.000,26,422.290,152.529,10,-44.976
5.000,27,351.730,169.365,9,-45.829
5.000,28,30.632,321.614,3,-39.356
5.000,29,427.581,430.480,5,-40.427
6.000,0,457.518,190.054,9,-41.418
6.000,1,455.732,48.841,5,-42.555
6.000,2,440.252,236.827,9,-41.318
6.000,3,375.643,31.821,4,-42.615
6.000,4,78.620,85.180,6,-28.655
6.000,5,205.598,309.608,7,-47.271
6.000,6,442.531,339.357,6,-46.986
6.000,7,348.990,358.797,7,-44.471
6.000,8,139.690,75.735,6,-37.077
6.000,9,389.061,317.914,11,-45.706
6.000,10,159.662,245.402,7,-42.404
6.000,11,136.907,110.793,7,-36.162
6.000,12,79.131,79.948,6,-30.937
6.000,13,430.934,432.647,5,-43.424
6.000,14,342.013,98.004,9,-47.415
6.000,15,65.392,84.227,5,-29.217
6.000,16,317.861,239.736,9,-43.258
6.000,17,228.572,82.220,6,-47.148
6.000,18,90.789,339.680,5,-41.014
6.000,19,412.005,109.995,8,-41.515
6.000,20,298.180,232.945,8,-43.704
6.000,21,145.345,283.132,5,-35.110
6.000,22,128.573,363.331,5,-41.491
6.000,23,112.529,93.553,6,-33.440
6.000,24,480.332,206.296,7,-38.059
6.000,25,291.936,404.136,5,-46.895
6.000,26,436.953,149.959,9,-39.536
6.000,27,347.102,179.296,9,-44.974
6.000,28,37.114,315.726,4,-40.677
6.000,29,410.019,433.429,5,-42.366
7.000,0,457.695,200.875,10,-42.746
7.000,1,457.338,57.068,5,-44.725
7.000,2,433.556,227.529,10,-41.626
7.000,3,371.221,36.436,5,-41.366
7.000,4,68.191,94.407,5,-27.310
7.000,5,211.366,303.919,8,-46.054
7.000,6,432.220,335.009,8,-45.246
7.000,7,337.477,359.296,8,-41.561
7.000,8,151.102,83.508,6,-38.455
7.000,9,374.328,308.229,11,-43.153
7.000,10,154.441,251.008,7,-45.987
7.000,11,142.379,115.045,7,-38.517
7.000,12,87.248,92.708,6,-35.281
7.000,13,427.545,425.166,5,-43.299
7.000,14,349.985,115.638,10,-44.028
7.000,15,64.028,91.739,5,-29.608
7.000,16,318.156,222.056,9,-41.573
7.000,17,236.568,80.030,6,-45.141
7.000,18,107.476,340.514,5,-40.335
7.000,19,404.125,124.494,9,-42.561
7.000,20,294.111,238.882,9,-44.644
7.000,21,131.817,285.415,5,-37.654
7.000,22,136.129,355.055,5,-38.212
7.000,23,127.407,93.708,6,-35.909
7.000,24,475.346,211.103,7,-39.937
7.000,25,299.663,387.946,7,-47.595
7.000,26,450.446,147.595,8,-40.170
7.000,27,342.475,189.227,9,-41.098
7.000,28,43.596,309.838,4,-42.448
7.000,29,392.458,436.379,5,-41.813
8.000,0,457.872,211.695,10,-41.192
8.000,1,458.943,65.294,5,-45.075
8.000,2,426.860,218.231,10,-43.204
8.000,3,366.799,41.052,5,-44.038
8.000,4,57.762,103.635,5,-34.356
8.000,5,217.134,298.230,9,-46.214
8.000,6,421.908,330.662,8,-45.029
8.000,7,325.965,359.794,7,-43.381
8.000,8,162.515,91.282,6,-38.167
8.000,9,359.595,298.543,12,-43.749
8.000,10,149.220,256.614,7,-43.722
8.000,11,147.851,119.297,7,-37.658
8.000,12,95.365,105.468,5,-32.978
8.000,13,424.155,417.684,5,-44.797
8.000,14,357.957,133.272,11,-43.902
8.000,15,62.663,99.252,5,-32.617
8.000,16,318.451,204.375,10,-43.944
8.000,17,244.564,77.840,6,-46.484
8.000,18,124.163,341.348,5,-34.917
8.000,19,396.246,138.994,10,-45.116
8.000,20,290.042,244.819,10,-43.038
8.000,21,115.226,288.214,5,-37.847
8.000,22,143.685,346.778,5,-35.936
8.000,23,142.285,93.864,6,-35.005
8.000,24,469.240,216.991,8,-40.415
8.000,25,307.390,371.757,7,-42.975
8.000,26,449.666,147.905,9,-43.920
8.000,27,337.847,199.158,9,-42.187
8.000,28,50.078,303.950,4,-38.641
8.000,29,374.896,439.328,5,-45.247
9.000,0,458.049,222.516,10,-40.681
9.000,1,460.548,73.521,7,-46.565
9.000,2,420.165,208.933,11,-42.201
9.000,3,362.377,45.667,6,-45.746
9.000,4,47.332,112.862,5,-37.925
9.000,5,222.903,292.540,10,-46.604
9.000,6,411.597,326.314,10,-44.231
9.000,7,314.452,360.293,7,-37.089
9.000,8,173.928,99.055,6,-35.868
9.000,9,344.862,288.858,13,-45.832
9.000,10,143.999,262.220,8,-41.024
9.000,11,153.322,123.549,7,-40.989
9.000,12,103.482,118.227,6,-37.080
