time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,295.596,546.212,10,-41.696
1.000,1,956.479,910.414,4,-42.757
1.000,2,889.127,758.424,6,-40.709
1.000,3,409.682,527.698,8,-40.652
1.000,4,15.477,368.644,5,-39.996
1.000,5,959.344,286.644,2,-47.855
1.000,6,57.374,865.246,1,-5.426
1.000,7,287.899,644.984,10,-44.961
1.000,8,4.655,440.916,5,-40.881
1.000,9,874.746,701.671,8,-44.881
1.000,10,941.598,602.971,7,-38.002
1.000,11,378.115,322.882,5,-41.776
1.000,12,360.164,170.106,5,-41.958
1.000,13,782.674,374.354,6,-41.418
1.000,14,276.435,305.461,4,-44.038
1.000,15,511.337,204.434,6,-45.189
1.000,16,401.352,572.800,9,-42.958
1.000,17,95.922,669.817,4,-45.737
1.000,18,751.271,816.701,8,-42.173
1.000,19,886.883,857.060,8,-42.030
1.000,20,165.859,468.425,8,-44.839
1.000,21,754.890,275.387,4,-46.182
1.000,22,199.499,379.618,6,-44.433
1.000,23,785.694,474.967,9,-39.865
1.000,24,751.737,479.962,10,-42.548
1.000,25,531.493,317.660,6,-43.006
1.000,26,685.869,139.670,3,-37.080
1.000,27,314.965,8.486,2,-48.620
1.000,28,637.407,955.700,5,-36.669
1.000,29,20.768,360.919,4,-32.186
1.000,30,432.517,857.862,1,-45.172
1.000,31,838.645,104.937,5,-38.301
1.000,32,15.572,170.526,2,-41.019
1.000,33,974.403,79.152,4,-39.533
1.000,34,645.037,755.854,8,-41.108
1.000,35,66.784,429.800,8,-42.566
1.000,36,427.094,207.077,7,-43.703
1.000,37,994.910,764.628,4,-46.614
1.000,38,604.165,862.380,7,-41.949
1.000,39,687.879,744.065,9,-42.704
1.000,40,311.630,788.334,4,-45.839
1.000,41,989.296,504.281,5,-45.344
1.000,42,592.435,932.861,4,-40.736
1.000,43,196.657,592.981,12,-45.383
1.000,44,111.772,288.890,6,-48.639
1.000,45,822.697,172.811,6,-43.418
1.000,46,730.758,616.987,7,-45.310
1.000,47,499.816,649.795,5,-45.313
1.000,48,287.899,512.195,11,-44.834
1.000,49,315.205,513.769,10,-43.859
1.000,50,195.247,162.537,6,-43.718
1.000,51,309.267,612.771,10,-42.150
1.000,52,153.895,613.177,7,-42.465
1.000,53,766.270,435.686,7,-38.028
1.000,54,213.939,473.463,8,-41.566
1.000,55,885.485,953.677,5,-36.814
1.000,56,35.498,541.390,6,-44.929
1.000,57,103.758,487.768,9,-46.792
1.000,58,143.633,157.709,7,-44.201
1.000,59,412.225,332.835,7,-43.130
1.000,60,396.165,404.368,5,-46.415
1.000,61,678.768,95.979,2,-41.135
1.000,62,822.647,415.669,7,-43.109
1.000,63,854.020,562.426,11,-41.811
1.000,64,80.505,177.940,4,-47.845
1.000,65,664.163,507.426,7,-47.505
1.000,66,639.771,615.411,7,-48.459
1.000,67,875.313,914.588,5,-38.657
1.000,68,755.464,956.778,7,-46.968
1.000,69,60.111,856.346,1,-7.524
1.000,70,409.081,534.623,9,-39.621
1.000,71,854.239,89.093,5,-40.245
1.000,72,555.524,260.889,7,-40.893
1.000,73,884.672,548.633,10,-43.507
1.000,74,718.452,877.609,10,-45.594
1.000,75,789.183,542.389,10,-43.218
1.000,76,252.243,135.323,7,-43.755
1.000,77,899.811,954.174,5,-35.891
1.000,78,913.368,156.254,6,-42.774
1.000,79,943.043,580.975,6,-33.548
1.000,80,272.188,178.700,6,-40.838
1.000,81,655.707,197.278,6,-44.382
1.000,82,496.669,566.614,5,-43.781
1.000,83,938.602,733.431,5,-41.619
1.000,84,760.228,555.109,9,-41.463
1.000,85,325.641,155.179,7,-41.519
1.000,86,925.869,582.104,7,-38.584
1.000,87,967.476,91.328,4,-35.910
1.000,88,761.428,766.143,7,-41.287
1.000,89,596.250,304.232,5,-43.613
1.000,90,553.419,377.613,4,-40.502
1.000,91,857.349,316.468,5,-46.148
1.000,92,436.017,251.412,8,-45.298
1.000,93,268.639,719.718,6,-45.910
1.000,94,159.054,40.791,3,-44.606
1.000,95,233.887,834.749,2,-46.412
1.000,96,664.324,789.755,7,-44.501
1.000,97,632.869,962.146,5,-35.580
1.000,98,201.147,620.477,9,-42.164
1.000,99,568.980,676.513,6,-43.347
2.000,0,295.596,546.212,10,-42.156
2.000,1,956.479,910.414,4,-40.461
2.000,2,889.127,758.424,6,-44.631
2.000,3,409.682,527.698,8,-40.153
2.000,4,15.477,368.644,5,-39.343
2.000,5,959.344,286.644,2,-48.975
2.000,6,57.374,865.246,1,-12.839
2.000,7,287.899,644.984,10,-44.803
2.000,8,4.655,440.916,5,-41.299
2.000,9,874.746,701.671,8,-46.685
2.000,10,941.598,602.971,7,-39.169
2.000,11,378.115,322.882,5,-41.912
2.000,12,360.164,170.106,5,-41.199
2.000,13,782.674,374.354,6,-43.724
2.000,14,276.435,305.461,4,-47.101
2.000,15,511.337,204.434,6,-44.431
2.000,16,401.352,572.800,9,-42.850
2.000,17,95.922,669.817,4,-46.274
2.000,18,751.271,816.701,8,-46.011
2.000,19,886.883,857.060,8,-43.836
2.000,20,165.859,468.425,8,-43.471
2.000,21,754.890,275.387,4,-46.859
2.000,22,199.499,379.618,6,-43.394
2.000,23,785.694,474.967,9,-40.997
2.000,24,751.737,479.962,10,-42.492
2.000,25,531.493,317.660,6,-41.619
2.000,26,685.869,139.670,3,-42.268
2.000,27,314.965,8.486,2,-49.036
2.000,28,637.407,955.700,5,-35.693
2.000,29,20.768,360.919,4,-34.728
2.000,30,432.517,857.862,1,-44.823
2.000,31,838.645,104.937,5,-45.454
2.000,32,15.572,170.526,2,-39.929
2.000,33,974.403,79.152,4,-36.912
2.000,34,645.037,755.854,8,-43.575
2.000,35,66.784,429.800,8,-44.512
2.000,36,427.094,207.077,7,-43.277
2.000,37,994.910,764.628,4,-43.573
2.000,38,604.165,862.380,7,-43.516
2.000,39,687.879,744.065,9,-39.525
2.000,40,311.630,788.334,4,-43.338
2.000,41,989.296,504.281,5,-46.542
2.000,42,592.435,932.861,4,-41.955
2.000,43,196.657,592.981,12,-44.482
2.000,44,111.772,288.890,6,-43.000
2.000,45,822.697,172.811,6,-44.576
2.000,46,730.758,616.987,7,-43.859
2.000,47,499.816,649.795,5,-43.284
2.000,48,287.899,512.195,11,-43.344
2.000,49,315.205,513.769,10,-42.825
2.000,50,195.247,162.537,6,-43.181
2.000,51,309.267,612.771,10,-41.926
2.000,52,153.895,613.177,7,-42.272
2.000,53,766.270,435.686,7,-39.248
2.000,54,213.939,473.463,8,-42.964
2.000,55,885.485,953.677,5,-32.225
2.000,56,35.498,541.390,6,-46.365
2.000,57,103.758,487.768,9,-44.997
2.000,58,143.633,157.709,7,-43.452
2.000,59,412.225,332.835,7,-44.608
2.000,60,396.165,404.368,5,-43.879
2.000,61,678.768,95.979,2,-43.991
2.000,62,822.647,415.669,7,-43.672
2.000,63,854.020,562.426,11,-41.762
2.000,64,80.505,177.940,4,-40.655
2.000,65,664.163,507.426,7,-45.179
2.000,66,639.771,615.411,7,-45.545
2.000,67,875.313,914.588,5,-40.067
2.000,68,755.464,956.778,7,-48.307
2.000,69,60.111,856.346,1,-15.268
2.000,70,409.081,534.623,9,-41.566
2.000,71,854.239,89.093,5,-40.542
2.000,72,555.524,260.889,7,-40.665
2.000,73,884.672,548.633,10,-41.817
2.000,74,718.452,877.609,10,-47.277
2.000,75,789.183,542.389,10,-41.508
2.000,76,252.243,135.323,7,-41.979
2.000,77,899.811,954.174,5,-36.730
2.000,78,913.368,156.254,6,-41.246
2.000,79,943.043,580.975,6,-36.117
2.000,80,272.188,178.700,6,-44.477
2.000,81,655.707,197.278,6,-45.939
2.000,82,496.669,566.614,5,-46.033
2.000,83,938.602,733.431,5,-40.615
2.000,84,760.228,555.109,9,-44.281
2.000,85,325.641,155.179,7,-41.954
2.000,86,925.869,582.104,7,-36.880
2.000,87,967.476,91.328,4,-35.072
2.000,88,761.428,766.143,7,-46.236
2.000,89,596.250,304.232,5,-39.548
2.000,90,553.419,377.613,4,-43.023
2.000,91,857.349,316.468,5,-46.776
2.000,92,436.017,251.412,8,-41.846
2.000,93,268.639,719.718,6,-44.790
2.000,94,159.054,40.791,3,-45.095
2.000,95,233.887,834.749,2,-42.237
2.000,96,664.324,789.755,7,-40.594
2.000,97,632.869,962.146,5,-38.101
2.000,98,201.147,620.477,9,-45.592
2.000,99,568.980,676.513,6,-44.271
3.000,0,292.050,592.690,11,-42.554
3.000,1,935.639,874.362,5,-42.556
3.000,2,865.582,721.789,8,-44.943
3.000,3,397.762,546.319,10,-45.560
3.000,4,67.927,391.908,6,-38.210
3.000,5,954.393,284.592,1,-46.043
3.000,6,100.987,862.663,2,-34.205
3.000,7,295.232,647.994,10,-42.867
3.000,8,13.687,435.968,5,-40.497
3.000,9,850.736,688.645,11,-44.792
3.000,10,921.158,585.631,8,-45.652
3.000,11,409.821,357.004,6,-40.014
3.000,12,357.283,187.237,6,-41.700
3.000,13,752.729,387.448,6,-38.826
3.000,14,297.413,300.185,10,-46.950
3.000,15,526.512,230.877,8,-45.106
3.000,16,431.480,588.348,9,-43.153
3.000,17,131.538,664.042,5,-41.015
3.000,18,756.067,792.808,11,-45.264
3.000,19,845.750,837.505,10,-43.428
3.000,20,211.980,496.125,10,-43.134
3.000,21,748.484,281.173,8,-43.509
3.000,22,221.843,388.503,6,-44.066
3.000,23,785.659,443.646,9,-41.135
3.000,24,752.277,483.064,9,-41.868
3.000,25,536.662,339.917,7,-42.206
3.000,26,627.324,134.301,3,-44.590
3.000,27,362.307,33.342,1,-51.341
3.000,28,641.085,948.954,5,-40.560
3.000,29,67.904,378.976,5,-37.556
3.000,30,485.105,851.372,2,-46.697
3.000,31,807.203,143.431,6,-40.145
3.000,32,63.861,167.882,4,-48.635
3.000,33,919.507,82.672,5,-40.152
3.000,34,680.887,788.897,8,-40.938
3.000,35,91.159,409.499,9,-42.234
3.000,36,408.791,178.163,4,-38.285
3.000,37,980.888,755.331,4,-49.479
3.000,38,601.360,862.849,9,-45.742
3.000,39,687.980,742.023,7,-42.577
3.000,40,292.322,759.005,4,-43.684
3.000,41,988.614,503.696,4,-51.449
3.000,42,565.280,932.903,4,-45.443
3.000,43,171.914,600.957,11,-41.183
3.000,44,157.663,316.229,8,-44.930
3.000,45,806.000,172.619,7,-42.600
3.000,46,719.621,639.503,9,-45.396
3.000,47,491.671,619.360,6,-41.733
3.000,48,288.461,510.480,12,-45.250
3.000,49,319.708,515.335,10,-42.570
3.000,50,200.657,216.420,8,-45.138
3.000,51,307.247,634.852,10,-42.247
3.000,52,143.300,640.534,5,-37.091
3.000,53,751.478,429.944,9,-40.749
3.000,54,220.601,479.570,10,-43.001
3.000,55,847.532,911.180,7,-42.960
3.000,56,84.064,532.274,10,-44.889
3.000,57,78.339,466.526,7,-42.403
3.000,58,147.972,198.802,7,-40.936
3.000,59,407.909,332.500,5,-38.724
3.000,60,395.240,408.502,7,-44.532
3.000,61,689.439,104.146,4,-43.562
3.000,62,793.818,407.594,8,-40.861
3.000,63,814.515,533.634,11,-44.073
3.000,64,128.928,205.927,6,-42.391
3.000,65,664.170,559.703,7,-45.123
3.000,66,636.139,600.564,7,-46.503
3.000,67,867.936,887.463,6,-41.194
3.000,68,730.688,930.247,9,-46.576
3.000,69,74.788,852.585,1,-26.438
3.000,70,416.035,495.227,8,-45.026
3.000,71,852.992,111.243,5,-41.228
3.000,72,582.179,297.722,5,-38.357
3.000,73,876.092,544.216,10,-43.838
3.000,74,708.284,866.418,10,-42.637
3.000,75,736.363,566.423,10,-43.079
3.000,76,241.190,187.062,7,-39.238
3.000,77,897.119,951.506,4,-40.133
3.000,78,907.842,158.163,6,-43.328
3.000,79,888.044,557.478,7,-40.029
3.000,80,251.838,156.932,7,-43.275
3.000,81,655.067,231.905,7,-45.150
3.000,82,522.223,546.945,7,-44.857
3.000,83,927.287,710.998,5,-38.931
3.000,84,745.843,547.734,12,-45.376
3.000,85,338.653,178.657,8,-41.260
3.000,86,872.997,589.804,10,-42.895
3.000,87,956.008,105.612,3,-42.730
3.000,88,777.434,728.848,7,-42.466
3.000,89,612.765,320.993,6,-42.437
3.000,90,563.718,342.432,5,-41.755
3.000,91,805.950,306.374,6,-44.236
3.000,92,435.905,256.048,8,-44.100
3.000,93,273.680,680.586,8,-43.757
3.000,94,159.857,58.897,3,-49.157
3.000,95,229.999,837.510,2,-49.108
3.000,96,627.921,758.173,7,-47.119
3.000,97,657.844,913.250,6,-40.335
3.000,98,173.721,589.329,11,-43.536
3.000,99,558.122,665.770,6,-46.148
4.000,0,288.504,639.169,10,-36.522
4.000,1,914.799,838.309,6,-43.454
4.000,2,842.037,685.155,10,-42.699
4.000,3,385.841,564.940,10,-45.564
4.000,4,120.376,415.172,9,-39.960
4.000,5,949.442,282.541,1,-45.046
4.000,6,144.601,860.079,2,-41.826
4.000,7,302.566,651.003,9,-35.829
4.000,8,22.719,431.020,5,-43.187
4.000,9,826.725,675.619,10,-42.433
4.000,10,900.718,568.290,8,-46.502
4.000,11,441.526,391.127,5,-44.701
4.000,12,354.402,204.369,7,-37.530
4.000,13,722.784,400.543,10,-42.043
