time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,373.837,181.831,5,-47.112
1.000,1,493.018,305.433,3,-48.553
1.000,2,275.248,295.626,6,-46.375
1.000,3,124.285,151.771,12,-42.659
1.000,4,211.921,114.849,10,-40.437
1.000,5,60.645,277.077,7,-42.215
1.000,6,418.528,354.224,6,-40.186
1.000,7,331.384,440.591,6,-44.622
1.000,8,263.046,154.278,9,-39.977
1.000,9,164.738,79.274,9,-40.997
1.000,10,469.786,151.236,2,-39.133
1.000,11,161.408,467.206,2,-42.298
1.000,12,17.622,258.067,6,-44.614
1.000,13,181.123,112.663,11,-40.136
1.000,14,72.511,95.791,7,-41.275
1.000,15,315.691,364.602,7,-44.924
1.000,16,132.145,235.914,9,-43.603
1.000,17,92.298,384.580,6,-46.102
1.000,18,66.366,286.855,7,-40.499
1.000,19,109.767,169.505,12,-45.383
1.000,20,60.779,35.469,5,-47.486
1.000,21,362.233,414.607,6,-37.210
1.000,22,16.908,346.098,4,-41.806
1.000,23,444.559,359.159,6,-40.554
1.000,24,260.244,224.380,8,-44.276
1.000,25,194.426,385.798,5,-41.337
1.000,26,476.801,84.938,2,-44.433
1.000,27,254.551,141.698,9,-40.490
1.000,28,188.779,151.911,10,-42.013
1.000,29,373.992,390.860,7,-41.334
2.000,0,382.305,185.445,5,-47.529
2.000,1,478.057,307.373,5,-42.958
2.000,2,265.066,283.425,8,-43.833
2.000,3,129.767,160.330,14,-43.364
2.000,4,205.753,130.293,10,-36.555
2.000,5,65.886,269.783,7,-39.274
2.000,6,412.825,351.177,6,-40.382
2.000,7,344.982,432.833,5,-39.081
2.000,8,260.602,163.706,11,-40.073
2.000,9,169.924,95.133,10,-43.469
2.000,10,471.904,170.115,3,-43.170
2.000,11,175.031,462.059,2,-45.866
2.000,12,29.389,271.217,7,-42.959
2.000,13,191.941,128.689,10,-37.514
2.000,14,85.563,97.677,7,-42.387
2.000,15,319.924,354.800,8,-42.455
2.000,16,149.478,233.682,13,-44.051
2.000,17,105.890,395.465,6,-42.342
2.000,18,68.688,296.240,7,-43.115
2.000,19,118.128,168.181,13,-41.681
2.000,20,69.554,39.154,4,-43.150
2.000,21,365.567,406.582,6,-37.603
2.000,22,32.319,345.419,4,-39.082
2.000,23,432.429,366.463,6,-40.779
2.000,24,255.540,232.692,10,-44.852
2.000,25,199.714,378.911,4,-44.637
2.000,26,471.121,88.114,2,-45.458
2.000,27,253.558,150.893,11,-39.099
2.000,28,202.186,164.407,11,-39.983
2.000,29,355.778,388.447,7,-38.613
3.000,0,390.773,189.059,6,-48.994
3.000,1,463.096,309.312,7,-48.203
3.000,2,254.883,271.224,10,-42.053
3.000,3,135.249,168.889,13,-41.409
3.000,4,199.584,145.737,11,-38.282
3.000,5,71.128,262.489,6,-40.655
3.000,6,407.122,348.131,6,-38.400
3.000,7,358.580,425.075,5,-35.209
3.000,8,258.157,173.133,11,-41.233
3.000,9,175.110,110.992,10,-41.283
3.000,10,474.023,188.995,3,-44.473
3.000,11,188.654,456.912,2,-40.987
3.000,12,41.155,284.367,7,-41.819
3.000,13,202.760,144.715,11,-36.485
3.000,14,98.616,99.563,8,-44.423
3.000,15,324.157,344.998,9,-42.282
3.000,16,166.812,231.450,15,-44.673
3.000,17,119.483,406.350,5,-42.574
3.000,18,71.010,305.624,7,-40.686
3.000,19,126.489,166.857,14,-41.128
3.000,20,78.330,42.839,4,-45.507
3.000,21,368.902,398.557,6,-37.055
3.000,22,47.729,344.740,4,-41.073
3.000,23,420.298,373.766,6,-40.323
3.000,24,250.836,241.005,12,-44.799
3.000,25,205.003,372.024,8,-44.801
3.000,26,465.442,91.291,2,-48.963
3.000,27,252.564,160.087,11,-39.494
3.000,28,215.593,176.903,11,-36.216
3.000,29,337.564,386.035,8,-40.868
4.000,0,399.241,192.672,5,-46.770
4.000,1,448.135,311.252,8,-41.683
4.000,2,244.701,259.024,13,-42.023
4.000,3,140.732,177.448,14,-41.772
4.000,4,193.415,161.182,11,-35.660
4.000,5,76.369,255.194,6,-40.731
4.000,6,401.418,345.085,6,-41.397
4.000,7,372.179,417.316,6,-36.651
4.000,8,255.713,182.561,11,-38.733
4.000,9,180.296,126.851,12,-40.164
4.000,10,476.141,207.874,3,-45.112
4.000,11,202.278,451.764,3,-44.692
4.000,12,52.921,297.517,6,-39.415
4.000,13,213.579,160.742,11,-35.805
4.000,14,111.669,101.450,8,-42.667
4.000,15,328.389,335.195,9,-41.468
4.000,16,184.145,229.218,15,-44.983
4.000,17,133.076,417.236,5,-46.702
4.000,18,73.332,315.009,6,-44.639
4.000,19,134.850,165.533,13,-42.353
4.000,20,87.106,46.523,4,-43.127
4.000,21,372.236,390.532,6,-37.017
4.000,22,63.140,344.060,5,-40.795
4.000,23,408.168,381.070,6,-37.726
4.000,24,246.132,249.317,12,-40.692
4.000,25,210.291,365.137,9,-46.318
4.000,26,459.763,94.467,2,-47.410
4.000,27,251.571,169.282,11,-39.612
4.000,28,229.000,189.400,11,-34.606
4.000,29,319.351,383.622,9,-41.383
5.000,0,407.710,196.286,5,-44.747
5.000,1,433.173,313.192,8,-43.313
5.000,2,234.518,246.823,13,-38.878
5.000,3,146.214,186.007,14,-40.633
5.000,4,187.246,176.626,12,-38.150
5.000,5,81.610,247.900,8,-46.488
5.000,6,395.715,342.038,8,-39.351
5.000,7,385.777,409.558,6,-34.770
5.000,8,253.268,191.989,10,-35.593
5.000,9,185.482,142.710,13,-40.869
5.000,10,478.259,226.754,4,-44.286
5.000,11,215.901,446.617,3,-46.408
5.000,12,64.687,310.666,5,-37.696
5.000,13,224.398,176.768,11,-36.546
5.000,14,124.722,103.336,8,-45.735
5.000,15,332.622,325.393,10,-45.346
5.000,16,201.479,226.986,13,-40.231
5.000,17,146.668,428.121,5,-45.098
5.000,18,75.654,324.394,5,-35.826
5.000,19,143.212,164.210,13,-38.406
5.000,20,95.881,50.208,4,-46.557
5.000,21,375.571,382.507,6,-37.206
5.000,22,78.550,343.381,5,-37.956
5.000,23,396.038,388.374,6,-34.538
5.000,24,241.428,257.629,13,-39.515
5.000,25,215.580,358.250,9,-46.432
5.000,26,454.083,97.643,2,-46.677
5.000,27,250.578,178.476,11,-36.677
5.000,28,242.407,201.896,10,-36.033
5.000,29,301.137,381.209,10,-45.918
6.000,0,416.178,199.900,5,-45.084
6.000,1,418.212,315.131,8,-42.787
6.000,2,224.336,234.622,13,-36.132
6.000,3,151.697,194.567,14,-42.168
6.000,4,181.078,192.070,12,-37.120
6.000,5,86.851,240.606,10,-44.799
6.000,6,390.011,338.992,8,-41.479
6.000,7,399.375,401.800,6,-37.559
6.000,8,250.824,201.416,12,-37.909
6.000,9,190.668,158.569,13,-38.191
6.000,10,478.807,231.633,4,-46.230
6.000,11,229.524,441.470,3,-39.016
6.000,12,76.454,323.816,6,-37.203
6.000,13,235.216,192.795,11,-37.254
6.000,14,137.775,105.222,10,-45.487
6.000,15,336.854,315.591,13,-44.526
6.000,16,218.813,224.754,14,-39.813
6.000,17,160.261,439.006,6,-42.931
6.000,18,77.976,333.779,5,-36.619
6.000,19,151.573,162.886,13,-41.630
6.000,20,104.657,53.893,4,-45.727
6.000,21,378.905,374.482,6,-35.044
6.000,22,93.961,342.702,5,-32.952
6.000,23,383.908,395.678,6,-34.142
6.000,24,236.724,265.941,13,-40.246
6.000,25,220.868,351.363,11,-43.978
6.000,26,448.404,100.819,2,-45.162
6.000,27,249.584,187.670,11,-38.046
6.000,28,255.815,214.392,12,-39.278
6.000,29,282.924,378.796,10,-44.925
7.000,0,424.646,203.514,5,-47.203
7.000,1,403.251,317.071,7,-40.079
7.000,2,214.154,222.422,13,-36.369
7.000,3,157.179,203.126,13,-41.219
7.000,4,174.909,207.515,14,-39.049
7.000,5,92.092,233.311,11,-44.518
7.000,6,384.308,335.945,8,-38.690
7.000,7,412.973,394.042,6,-39.714
7.000,8,248.379,210.844,13,-34.497
7.000,9,195.855,174.428,13,-38.284
7.000,10,475.235,234.339,4,-45.035
7.000,11,243.147,436.322,4,-42.608
7.000,12,88.220,336.966,5,-34.220
7.000,13,246.035,208.821,13,-35.322
7.000,14,150.828,107.108,11,-47.862
7.000,15,341.087,305.788,14,-44.251
7.000,16,236.146,222.522,14,-37.755
7.000,17,173.854,449.891,6,-43.983
7.000,18,80.298,343.163,5,-39.203
7.000,19,159.934,161.562,13,-41.382
7.000,20,113.433,57.578,3,-44.970
7.000,21,382.240,366.457,6,-34.162
7.000,22,109.371,342.023,8,-42.157
7.000,23,371.778,402.982,7,-40.851
7.000,24,232.020,274.253,15,-41.044
7.000,25,226.157,344.476,15,-44.451
7.000,26,442.725,103.996,2,-44.835
7.000,27,248.591,196.865,13,-36.230
7.000,28,269.222,226.888,13,-38.173
7.000,29,264.710,376.384,10,-43.897
8.000,0,433.114,207.128,5,-42.170
8.000,1,388.290,319.011,8,-37.565
8.000,2,203.971,210.221,13,-35.157
8.000,3,162.661,211.685,14,-40.869
8.000,4,168.740,222.959,15,-40.011
8.000,5,97.333,226.017,11,-45.570
8.000,6,378.604,332.899,10,-38.500
8.000,7,426.572,386.283,5,-42.101
8.000,8,245.935,220.272,14,-34.848
8.000,9,201.041,190.287,12,-39.027
8.000,10,470.418,237.989,6,-46.266
8.000,11,256.770,431.175,5,-41.630
8.000,12,99.986,350.116,8,-40.508
8.000,13,256.854,224.848,14,-38.121
8.000,14,163.880,108.995,11,-45.452
8.000,15,345.319,295.986,15,-44.886
8.000,16,253.480,220.289,13,-35.094
8.000,17,187.446,460.776,5,-43.441
8.000,18,82.620,352.548,4,-36.635
8.000,19,168.295,160.238,13,-43.142
8.000,20,122.209,61.263,2,-39.064
8.000,21,385.574,358.432,8,-38.544
8.000,22,124.782,341.343,9,-43.258
8.000,23,359.648,410.286,8,-43.100
8.000,24,227.316,282.565,16,-42.543
8.000,25,231.445,337.589,18,-46.346
8.000,26,437.045,107.172,2,-43.231
8.000,27,247.598,206.059,13,-37.520
8.000,28,282.629,239.384,15,-40.796
8.000,29,246.496,373.971,12,-43.616
9.000,0,441.582,210.741,6,-44.845
9.000,1,373.328,320.951,12,-39.772
9.000,2,193.789,198.020,14,-37.771
9.000,3,168.144,220.244,14,-40.831
9.000,4,162.572,238.403,17,-41.321
9.000,5,102.575,218.723,12,-46.294
9.000,6,372.901,329.853,11,-39.896
9.000,7,440.170,378.525,6,-43.040
9.000,8,243.491,229.699,15,-38.416
9.000,9,206.227,206.146,14,-38.246
