time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,396.445,56.970,9,-42.363
1.000,1,492.404,418.292,3,-38.308
1.000,2,22.847,128.018,5,-40.537
1.000,3,403.413,332.690,5,-45.071
1.000,4,466.961,351.675,4,-42.558
1.000,5,16.709,48.908,4,-45.898
1.000,6,445.758,170.303,5,-39.987
1.000,7,186.272,12.539,5,-44.370
1.000,8,395.446,189.727,7,-46.862
1.000,9,422.797,12.801,6,-41.366
1.000,10,229.668,193.616,4,-44.646
1.000,11,36.249,453.382,3,-43.149
1.000,12,56.936,150.104,5,-39.903
1.000,13,148.392,172.930,5,-44.170
1.000,14,443.566,427.771,4,-43.095
1.000,15,277.045,85.011,9,-40.053
1.000,16,68.942,455.305,4,-40.513
1.000,17,299.181,58.627,9,-36.790
1.000,18,239.726,29.617,7,-42.097
1.000,19,76.168,11.485,5,-45.832
1.000,20,187.410,420.814,4,-43.675
1.000,21,130.423,433.669,4,-41.993
1.000,22,82.263,151.277,5,-39.638
1.000,23,356.678,51.632,10,-34.948
1.000,24,366.410,62.964,10,-35.384
1.000,25,320.596,381.558,4,-46.758
1.000,26,166.663,300.026,4,-46.787
1.000,27,296.516,82.767,11,-40.850
1.000,28,11.880,329.824,2,-46.174
1.000,29,362.906,57.501,10,-36.163
2.000,0,390.025,67.255,9,-37.193
2.000,1,483.814,412.471,3,-38.791
2.000,2,28.960,130.789,5,-38.944
2.000,3,410.724,314.439,6,-43.483
2.000,4,460.586,346.048,4,-38.161
2.000,5,16.927,54.895,4,-41.599
2.000,6,440.812,167.628,7,-45.024
2.000,7,194.905,18.189,5,-45.086
2.000,8,380.971,201.243,8,-46.669
2.000,9,420.727,19.065,7,-41.512
2.000,10,247.459,201.202,6,-46.719
2.000,11,45.360,451.149,3,-36.915
2.000,12,68.072,147.232,5,-35.791
2.000,13,148.968,188.822,5,-45.826
2.000,14,431.905,425.963,4,-39.996
2.000,15,279.354,90.489,9,-38.703
2.000,16,70.596,445.810,4,-38.855
2.000,17,284.600,60.373,10,-39.131
2.000,18,240.694,35.152,7,-42.719
2.000,19,74.970,21.300,5,-46.563
2.000,20,193.786,412.356,4,-43.842
2.000,21,128.617,426.673,5,-42.867
2.000,22,75.121,163.043,5,-37.778
2.000,23,373.013,51.653,10,-38.694
2.000,24,362.808,67.728,10,-37.270
2.000,25,334.717,369.844,4,-45.787
2.000,26,165.198,288.005,5,-47.663
2.000,27,296.666,99.615,11,-41.262
2.000,28,26.107,335.847,4,-50.444
2.000,29,355.607,65.480,10,-36.299
3.000,0,383.606,77.539,10,-41.431
3.000,1,475.225,406.651,4,-41.936
3.000,2,35.073,133.560,5,-39.860
3.000,3,418.034,296.188,6,-43.351
3.000,4,454.211,340.422,4,-42.787
3.000,5,17.146,60.882,4,-40.042
3.000,6,435.866,164.954,8,-46.533
3.000,7,203.537,23.839,5,-40.762
3.000,8,366.497,212.760,9,-45.640
3.000,9,418.657,25.330,5,-39.960
3.000,10,265.251,208.787,6,-45.190
3.000,11,54.470,448.916,3,-33.539
3.000,12,79.208,144.360,5,-38.456
3.000,13,149.544,204.715,5,-45.545
3.000,14,420.243,424.154,4,-43.613
3.000,15,281.664,95.966,10,-42.280
3.000,16,72.250,436.315,4,-38.906
3.000,17,270.019,62.119,9,-40.447
3.000,18,241.662,40.686,8,-42.686
3.000,19,74.966,22.704,4,-43.072
3.000,20,200.163,403.899,3,-46.230
3.000,21,126.811,419.678,5,-45.425
3.000,22,67.979,174.809,5,-38.030
3.000,23,389.349,51.674,9,-39.817
3.000,24,359.206,72.491,10,-38.273
3.000,25,348.838,358.130,5,-49.268
3.000,26,163.734,275.983,6,-47.779
3.000,27,296.816,116.463,11,-39.344
3.000,28,40.334,341.869,4,-43.987
3.000,29,348.307,73.460,10,-37.687
4.000,0,377.186,87.824,10,-38.378
4.000,1,466.635,400.830,4,-42.022
4.000,2,41.185,136.331,5,-40.743
4.000,3,425.344,277.937,6,-44.067
4.000,4,447.836,334.796,5,-45.092
4.000,5,17.364,66.869,4,-40.487
4.000,6,430.920,162.279,8,-45.307
4.000,7,212.170,29.490,6,-41.302
4.000,8,352.022,224.276,10,-44.441
4.000,9,416.587,31.594,6,-42.442
4.000,10,283.043,216.373,6,-41.894
4.000,11,63.580,446.682,3,-36.091
4.000,12,90.344,141.488,6,-43.573
4.000,13,150.119,220.607,5,-43.563
4.000,14,408.582,422.346,4,-43.088
4.000,15,283.974,101.444,11,-42.056
4.000,16,73.905,426.820,4,-41.533
4.000,17,255.438,63.865,7,-36.836
4.000,18,242.631,46.221,7,-37.217
4.000,19,74.951,27.802,4,-47.706
4.000,20,206.539,395.441,3,-49.241
4.000,21,125.005,412.683,4,-43.993
4.000,22,60.837,186.575,5,-40.883
4.000,23,405.684,51.695,7,-38.851
4.000,24,355.604,77.255,10,-38.459
4.000,25,362.958,346.416,5,-43.477
4.000,26,162.269,263.962,6,-48.250
4.000,27,296.966,133.311,11,-42.771
4.000,28,54.561,347.892,4,-43.022
4.000,29,341.007,81.439,12,-40.392
5.000,0,370.767,98.108,11,-42.373
5.000,1,458.046,395.010,4,-40.978
5.000,2,47.298,139.102,5,-40.729
5.000,3,432.655,259.686,6,-42.949
5.000,4,441.460,329.170,5,-41.558
5.000,5,17.583,72.856,4,-44.972
