time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,454.928,336.703,6,-38.414
1.000,1,473.990,221.182,4,-42.729
1.000,2,103.381,339.243,7,-42.166
1.000,3,245.714,437.869,6,-44.972
1.000,4,245.272,499.986,4,-44.875
1.000,5,473.938,380.696,5,-41.334
1.000,6,73.083,135.537,6,-44.650
1.000,7,299.604,305.856,5,-45.185
1.000,8,185.380,431.679,7,-46.060
1.000,9,224.498,76.962,6,-32.158
1.000,10,76.012,10.911,4,-45.794
1.000,11,333.578,156.313,4,-46.170
1.000,12,228.539,360.933,8,-40.789
1.000,13,103.821,268.277,5,-41.916
1.000,14,483.101,305.306,5,-37.078
1.000,15,457.623,468.273,3,-48.462
1.000,16,229.236,65.103,6,-34.537
1.000,17,486.057,287.942,5,-38.101
1.000,18,16.349,129.017,3,-46.103
1.000,19,217.438,47.885,6,-37.337
1.000,20,106.936,484.332,4,-44.469
1.000,21,200.358,250.207,9,-45.762
1.000,22,216.943,103.761,9,-39.889
1.000,23,414.172,411.324,5,-47.402
1.000,24,190.903,294.121,9,-44.701
1.000,25,260.141,339.294,6,-40.396
1.000,26,154.355,211.146,8,-42.330
1.000,27,126.552,111.969,9,-44.210
1.000,28,468.075,79.802,1,-47.984
1.000,29,233.909,162.894,9,-43.072
2.000,0,451.332,317.721,6,-37.007
2.000,1,465.250,221.257,4,-42.452
2.000,2,112.778,322.053,8,-49.018
2.000,3,245.454,427.351,7,-41.506
2.000,4,248.347,489.915,4,-44.491
2.000,5,464.635,382.294,5,-37.759
2.000,6,81.359,144.044,7,-47.334
2.000,7,295.616,291.435,7,-43.654
2.000,8,188.656,425.264,7,-44.005
2.000,9,237.101,86.978,7,-37.029
2.000,10,79.210,18.943,3,-48.738
2.000,11,324.659,153.317,7,-46.235
2.000,12,241.661,346.606,9,-42.056
2.000,13,118.562,279.009,7,-44.579
2.000,14,469.590,298.589,5,-32.381
2.000,15,458.604,458.976,3,-41.948
2.000,16,230.388,70.643,6,-35.610
2.000,17,466.202,285.606,5,-32.640
