method,n_decisions,avg_reliability,min_reliability,avg_hops,baseline_avg_reliability,baseline_min_reliability,baseline_avg_hops,delta_avg_rel_pct,delta_min_rel_pct,delta_hops,wlt_n_decisions,wlt_win_rate,wlt_tie_rate,wlt_loss_rate,stat_n_runs,stat_mean_delta,stat_t_p_value,stat_wilcoxon_p_value,stat_cohens_d
ours,16,0.46659290592467834,0.37510328773903223,4.5625,0.43290849750927757,0.3590975721539627,4.5,7.780953390659394,4.457205179378682,0.0625,16,0.875,0.125,0.0,2,0.033684408415400824,0.02287626867205202,0.5,19.669483356960566
paper_baseline,16,0.617996599534083,0.5917101372033358,4.5,0.43290849750927757,0.3590975721539627,4.5,42.75455508258737,64.77698071142643,0.0,16,0.875,0.0,0.125,2,0.18508810202480544,0.053386685138997116,0.5,8.41225534056007
