run_id,time,node_id,x,y,neighbor_count,avg_rssi,tx_packets,rx_packets,lost_packets,delay_sum,d_res,T_hello,ND,LET,LS,RSSI,LA,LQ_mean,LL_d
1,1.0,0,197.134,433.866,6.0,-39.281,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-39.281,0.9048374180359595,0.674784735930631,0.0
1,2.0,0,198.877,425.384,6.0,-38.569,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-38.569,0.9048374180359595,0.6834074092015548,0.0
1,3.0,0,200.62,416.902,7.0,-43.029,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-43.029,0.9048374180359595,0.6293945962966102,0.0
1,4.0,0,202.363,408.419,8.0,-42.283,0,0,0,0.0,0.0,1.0,8.0,0.0,0.0,-42.283,0.9048374180359595,0.6384290264372131,0.0
1,5.0,0,204.106,399.937,10.0,-43.334,0,0,0,0.0,0.0,1.0,10.0,0.0,0.0,-43.334,0.9048374180359595,0.6257008949656666,0.0
1,6.0,0,205.849,391.455,10.0,-41.814,0,0,0,0.0,1.8148866248704678,1.0,10.0,1.8148866248704678,0.1659722989502589,-41.814,0.9048374180359595,0.6441088491395491,0.0
1,7.0,0,207.591,382.973,11.0,-42.216,0,0,0,0.0,10.428004205714672,1.0,11.0,5.214002102857336,0.4063113232828979,-42.216,0.9048374180359595,0.639240429680404,0.0
1,8.0,0,209.334,374.491,11.0,-42.729,0,0,0,0.0,19.035376391179597,1.0,11.0,19.035376391179597,0.8509595657607687,-42.729,0.9048374180359595,0.6330277451467187,0.0
1,9.0,0,211.077,366.009,11.0,-42.797,0,0,0,0.0,27.635429923527283,1.0,11.0,27.635429923527283,0.9369320771160866,-42.797,0.9048374180359595,0.6322042314073607,0.0
1,10.0,0,212.82,357.527,11.0,-42.986,0,0,0,0.0,36.22650515607778,1.0,11.0,36.22650515607778,0.9732882174152151,-42.986,0.9048374180359595,0.6299153476317925,0.0
1,11.0,0,214.563,349.045,10.0,-41.054,0,0,0,0.0,44.80640231458949,1.0,10.0,22.403201157294745,0.8935755692084987,-41.054,0.9048374180359595,0.6533128262264905,0.0
1,12.0,0,216.306,340.563,9.0,-42.191,0,0,0,0.0,53.37214374208648,1.0,9.0,26.68607187104324,0.9306512520948347,-42.191,0.9048374180359595,0.6395431920845797,0.0
1,13.0,0,218.049,332.081,9.0,-42.627,0,0,0,0.0,61.91959944459833,1.0,9.0,61.91959944459833,0.9979541868587992,-42.627,0.9048374180359595,0.6342630157557554,0.0
1,14.0,0,219.791,323.599,10.0,-43.661,0,0,0,0.0,70.4424957530718,1.0,10.0,35.2212478765359,0.9704633905771854,-43.661,0.9048374180359595,0.6217407627190485,0.0
1,15.0,0,221.534,315.117,10.0,-40.989,0,0,0,0.0,78.93287085438162,1.0,10.0,78.93287085438162,0.9996267593176569,-40.989,0.9048374180359595,0.6541000084773473,0.0
1,16.0,0,223.277,306.635,12.0,-42.471,0,0,0,0.0,87.37698542867807,1.0,12.0,29.125661809559357,0.9456638854955988,-42.471,0.9048374180359595,0.6361522531578119,0.0
1,17.0,0,225.02,298.152,12.0,-44.581,0,0,0,0.0,95.75411993524303,1.0,12.0,95.75411993524303,0.999930585306678,-44.581,0.9048374180359595,0.6105991062453828,0.0
1,18.0,0,226.763,289.67,12.0,-41.187,0,0,0,0.0,104.02536493891441,1.0,12.0,104.02536493891441,0.9999696446109833,-41.187,0.9048374180359595,0.6517021302362758,0.0
1,19.0,0,228.506,281.188,12.0,-41.34,0,0,0,0.0,112.12278547728201,1.0,12.0,112.12278547728201,0.9999864926766296,-41.34,0.9048374180359595,0.6498492243227204,0.0
1,20.0,0,230.248,272.706,13.0,-44.12,0,0,0,0.0,119.90508448259074,1.0,13.0,59.95254224129537,0.997509456263145,-44.12,0.9048374180359595,0.6161820449783827,0.0
1,21.0,0,231.991,264.224,16.0,-42.958,0,0,0,0.0,127.05122537040378,1.0,16.0,31.762806342600946,0.9582593846195973,-42.958,0.9048374180359595,0.6302544415244692,0.0
1,22.0,0,233.734,255.742,16.0,-43.807,0,0,0,0.0,132.7502660890088,1.0,16.0,132.7502660890088,0.999998283162477,-43.807,0.9048374180359595,0.6199726302786625,0.0
1,23.0,0,235.477,247.26,16.0,-43.849,0,0,0,0.0,135.22078726724592,1.0,16.0,135.22078726724592,0.9999986589782395,-43.849,0.9048374180359595,0.6194639894396473,0.0
1,24.0,0,237.22,238.778,15.0,-42.516,0,0,0,0.0,132.9923051532549,1.0,15.0,66.49615257662745,0.9987054799336577,-42.516,0.9048374180359595,0.6356072808302956,0.0
1,25.0,0,238.963,230.296,14.0,-41.8,0,0,0,0.0,127.41542595044129,1.0,14.0,63.707712975220645,0.9982891608494519,-41.8,0.9048374180359595,0.6442783960858877,0.0
1,26.0,0,240.706,221.814,14.0,-42.839,0,0,0,0.0,120.321236009564,1.0,14.0,120.321236009564,0.9999940500253621,-42.839,0.9048374180359595,0.6316955905683456,0.0
1,27.0,0,242.448,213.332,16.0,-43.448,0,0,0,0.0,112.56238618715129,1.0,16.0,37.520795395717094,0.9765311094112988,-43.448,0.9048374180359595,0.6243202984026255,0.0
1,28.0,0,244.191,204.85,15.0,-39.085,0,0,0,0.0,104.47784076957683,1.0,15.0,52.238920384788415,0.994613675504656,-39.085,0.9048374180359595,0.6771583931793684,0.0
1,29.0,0,245.934,196.368,15.0,-39.924,0,0,0,0.0,96.21409310981174,1.0,15.0,96.21409310981174,0.9999337058772483,-39.924,0.9048374180359595,0.6669976868952321,0.0
1,30.0,0,247.677,187.886,15.0,-39.843,0,0,0,0.0,87.84257626799514,1.0,15.0,87.84257626799514,0.9998468752526766,-39.843,0.9048374180359595,0.6679786370847612,0.0
1,31.0,0,249.42,179.403,15.0,-38.904,0,0,0,0.0,79.40061750270048,1.0,15.0,79.40061750270048,0.9996438155168601,-38.904,0.9048374180359595,0.6793503929856005,0.0
1,32.0,0,251.163,170.921,14.0,-40.322,0,0,0,0.0,70.91244845109945,1.0,14.0,35.456224225549725,0.9711493403812618,-40.322,0.9048374180359595,0.6621777094207548,0.0
1,33.0,0,252.906,162.439,13.0,-41.314,0,0,0,0.0,62.39079068385561,1.0,13.0,31.195395341927806,0.9558224940320929,-41.314,0.9048374180359595,0.6501640972230631,0.0
1,34.0,0,254.648,153.957,13.0,-42.691,0,0,0,0.0,53.84459582009963,1.0,13.0,53.84459582009963,0.9954126812779424,-42.691,0.9048374180359595,0.6334879440010657,0.0
1,35.0,0,256.391,145.475,14.0,-44.557,0,0,0,0.0,45.27979895932208,1.0,14.0,22.63989947966104,0.896065038739833,-44.557,0.9048374180359595,0.6108897581533914,0.0
1,36.0,0,257.963,137.827,13.0,-46.053,0,0,0,0.0,37.54471422827649,1.0,13.0,18.772357114138245,0.8469875076251204,-46.053,0.9048374180359595,0.5927724558875177,0.0
1,37.0,0,257.092,138.328,12.0,-47.175,0,0,0,0.0,38.10302931714372,1.0,12.0,19.05151465857186,0.8511998972199417,-47.175,0.9048374180359595,0.5791844791881123,0.0
1,38.0,0,248.229,143.435,12.0,-43.428,0,0,0,0.0,43.42028492250506,1.0,12.0,43.42028492250506,0.9869898894898947,-43.428,0.9048374180359595,0.624562508325966,0.0
1,39.0,0,239.367,148.542,12.0,-44.692,0,0,0,0.0,47.986341831105776,1.0,12.0,47.986341831105776,0.9917590049438543,-44.692,0.9048374180359595,0.6092548411708427,0.0
1,40.0,0,230.504,153.649,11.0,-44.018,0,0,0,0.0,51.696341792382924,1.0,11.0,25.848170896191462,0.9245901284119271,-44.018,0.9048374180359595,0.6174173155874195,0.0
1,41.0,0,221.641,158.756,11.0,-41.925,0,0,0,0.0,54.450534187783134,1.0,11.0,54.450534187783134,0.9956823906399446,-41.925,0.9048374180359595,0.6427645840650091,0.0
1,42.0,0,212.779,163.862,10.0,-44.281,0,0,0,0.0,56.16419721129893,1.0,10.0,28.082098605649463,0.939687135752534,-44.281,0.9048374180359595,0.6142322550954912,0.0
1,43.0,0,203.916,168.969,10.0,-44.015,0,0,0,0.0,56.781128428842266,1.0,10.0,56.781128428842266,0.9965799935532139,-44.015,0.9048374180359595,0.6174536470759207,0.0
1,44.0,0,195.053,174.076,11.0,-43.509,0,0,0,0.0,56.27899603077226,1.0,11.0,28.13949801538613,0.9400323363699091,-43.509,0.9048374180359595,0.6235815581364368,0.0
1,45.0,0,186.191,179.183,11.0,-43.851,0,0,0,0.0,54.67615214438729,1.0,11.0,54.67615214438729,0.9957787129717681,-43.851,0.9048374180359595,0.6194397684473132,0.0
1,46.0,0,177.328,184.29,11.0,-45.238,0,0,0,0.0,52.02539265707671,1.0,11.0,52.02539265707671,0.9944974258320951,-45.238,0.9048374180359595,0.6026425102636455,0.0
1,47.0,0,168.465,189.397,11.0,-43.857,0,0,0,0.0,48.40925320680037,1.0,11.0,48.40925320680037,0.9921002591250001,-43.857,0.9048374180359595,0.619367105470311,0.0
1,48.0,0,159.603,194.503,12.0,-44.938,0,0,0,0.0,43.92674881007936,1.0,12.0,21.96337440503968,0.8887902743939421,-44.938,0.9048374180359595,0.6062756591137538,0.0
1,49.0,0,150.74,199.61,12.0,-46.143,0,0,0,0.0,38.6819884295448,1.0,12.0,38.6819884295448,0.9791040275214006,-46.143,0.9048374180359595,0.5916825112324852,0.0
1,50.0,0,141.877,204.717,12.0,-44.503,0,0,0,0.0,32.77742018706465,1.0,12.0,32.77742018706465,0.9622866832971579,-44.503,0.9048374180359595,0.611543724946411,0.0
1,51.0,0,133.015,209.824,13.0,-44.612,0,0,0,0.0,26.308443291387093,1.0,13.0,13.154221645693546,0.7316389931870434,-44.612,0.9048374180359595,0.610223680864205,0.0
1,52.0,0,124.152,214.931,10.0,-43.731,0,0,0,0.0,19.357151496915066,1.0,10.0,4.839287874228766,0.3836429072735166,-43.731,0.9048374180359595,0.6208930279873566,0.0
1,53.0,0,115.289,220.038,10.0,-46.199,0,0,0,0.0,11.997192184361694,1.0,10.0,11.997192184361694,0.6987212064320314,-46.199,0.9048374180359595,0.5910043234471316,0.0
1,54.0,0,106.427,225.144,8.0,-44.49,0,0,0,0.0,4.291293791345481,1.0,8.0,1.430431263781827,0.13328331026225793,-44.49,0.9048374180359595,0.6117011613965824,0.0
1,55.0,0,97.564,230.251,8.0,-42.599,0,0,0,0.0,0.0,1.0,8.0,0.0,0.0,-42.599,0.9048374180359595,0.6346021096484323,0.0
1,56.0,0,88.701,235.358,7.0,-43.146,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-43.146,0.9048374180359595,0.627977668245068,0.0
1,57.0,0,79.839,240.465,7.0,-40.604,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-40.604,0.9048374180359595,0.658762549501653,0.0
1,58.0,0,70.976,245.572,7.0,-40.835,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-40.835,0.9048374180359595,0.6559650248870695,0.0
1,59.0,0,62.113,250.678,7.0,-44.54,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-44.54,0.9048374180359595,0.611095636588231,0.0
1,60.0,0,53.251,255.785,5.0,-40.42,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-40.42,0.9048374180359595,0.6609908807963861,0.0
1,1.0,1,41.843,402.319,5.0,-48.167,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-48.167,0.9048374180359595,0.5671708669904205,0.0
1,2.0,1,46.228,399.743,5.0,-45.685,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-45.685,0.9048374180359595,0.5972291184769839,0.0
1,3.0,1,50.614,397.167,6.0,-48.041,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-48.041,0.9048374180359595,0.5686967895074662,0.0
1,4.0,1,54.999,394.59,7.0,-46.149,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-46.149,0.9048374180359595,0.591609848255483,0.0
1,5.0,1,59.384,392.014,7.0,-47.129,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-47.129,0.9048374180359595,0.5797415620117956,0.0
1,6.0,1,63.77,389.438,7.0,-42.753,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-42.753,0.9048374180359595,0.63273709323871,0.0
1,7.0,1,68.155,386.862,7.0,-43.777,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-43.777,0.9048374180359595,0.6203359451636733,0.0
1,8.0,1,72.541,384.285,6.0,-39.898,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-39.898,0.9048374180359595,0.6673125597955747,0.0
1,9.0,1,76.926,381.709,5.0,-40.072,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-40.072,0.9048374180359595,0.6652053334625119,0.0
1,10.0,1,81.311,379.133,4.0,-36.478,0,0,0,0.0,0.0,1.0,4.0,0.0,0.0,-36.478,0.9048374180359595,0.7087304566868103,0.0
1,11.0,1,85.697,376.557,5.0,-43.578,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-43.578,0.9048374180359595,0.6227459339009118,0.0
1,12.0,1,90.082,373.98,6.0,-44.954,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-44.954,0.9048374180359595,0.6060818911750814,0.0
1,13.0,1,94.467,371.404,6.0,-42.564,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-42.564,0.9048374180359595,0.6350259770142782,0.0
1,14.0,1,98.853,368.828,6.0,-40.392,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-40.392,0.9048374180359595,0.661329974689063,0.0
1,15.0,1,103.238,366.252,6.0,-44.531,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-44.531,0.9048374180359595,0.6112046310537342,0.0
1,16.0,1,107.624,363.675,6.0,-45.284,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-45.284,0.9048374180359595,0.6020854274399622,0.0
