run_id,time,node_id,x,y,neighbor_count,avg_rssi,tx_packets,rx_packets,lost_packets,delay_sum,d_res,T_hello,ND,LET,LS,RSSI,LA,LQ_mean,LL_d,link_failure,lfp,lfp_threshold,paper_predicted_failure
18,33.0,13,22.613,205.216,5.0,-38.668,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-38.668,0.9048374180359596,0.6822084700810191,0.0,0,0.6135983285409116,0.46245081559204687,1
18,34.0,13,23.189,211.515,5.0,-47.968,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-47.968,0.9048374180359596,0.569580855727659,0.0,0,0.6473866128469197,0.43986711484093394,1
18,35.0,13,23.765,217.813,5.0,-44.739,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-44.739,0.9048374180359596,0.6086856478509924,0.0,0,0.6356551752099197,0.4474206367057594,1
18,36.0,13,23.898,219.266,5.0,-43.104,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-43.104,0.9048374180359596,0.6284863090840831,0.0,0,0.6297149768399923,0.4513683172928247,1
18,37.0,13,26.748,215.409,6.0,-46.014,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-46.014,0.9048374180359596,0.5932447652380317,0.0,0,0.6359396139068514,0.44666301940538117,1
18,38.0,13,30.452,210.396,7.0,-45.699,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-45.699,0.9048374180359596,0.5970595715306456,0.0,0,0.6304473459321107,0.44971623559490487,1
18,39.0,13,34.155,205.382,7.0,-45.729,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-45.729,0.9048374180359596,0.5966962566456347,0.0,0,0.630556340397614,0.44964368926683884,1
18,40.0,13,37.859,200.369,6.0,-46.323,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-46.323,0.9048374180359596,0.5895026219224201,0.0,0,0.637062256901535,0.4459289677431836,1
18,41.0,13,41.563,195.356,6.0,-47.094,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-47.094,0.9048374180359596,0.5801654293776415,0.0,0,0.6398634146649684,0.4441103891257389,1
18,42.0,13,44.263,191.701,8.0,-47.941,0,0,0,0.0,0.0,1.0,8.0,0.0,0.0,-47.941,0.9048374180359596,0.5699078391241689,0.0,0,0.6342450395670972,0.4466338298026077,1
18,43.0,13,46.539,195.398,8.0,-44.448,0,0,0,0.0,0.0,1.0,8.0,0.0,0.0,-44.448,0.9048374180359596,0.6122098022355975,0.0,0,0.6215544506336685,0.45512737881187904,1
18,44.0,13,54.935,209.04,7.0,-41.223,0,0,0,0.0,0.0,1.0,7.0,0.0,0.0,-41.223,0.9048374180359596,0.6512661523742628,0.0,0,0.6141853716790255,0.4608203317403205,1
18,45.0,13,63.331,222.683,9.0,-44.453,0,0,0,0.0,0.0,1.0,9.0,0.0,0.0,-44.453,0.9048374180359596,0.6121492497547624,0.0,0,0.6172247902909626,0.4575022682814584,1
18,46.0,13,71.727,236.325,10.0,-43.371,0,0,0,0.0,0.0,1.0,10.0,0.0,0.0,-43.371,0.9048374180359596,0.6252528066074866,0.0,0,0.6089458971481888,0.46266503522541325,1
18,47.0,13,80.123,249.967,10.0,-41.387,0,0,0,0.0,0.0,1.0,10.0,0.0,0.0,-41.387,0.9048374180359596,0.6492800310028701,0.0,0,0.6017377298295737,0.46777991418606935,1
18,48.0,13,88.52,263.609,13.0,-45.791,0,0,0,0.0,0.0,1.0,13.0,0.0,0.0,-45.791,0.9048374180359596,0.595945405883279,0.0,1,0.6046946391045815,0.4638229791134809,1
18,49.0,13,96.916,277.252,11.0,-39.713,0,0,0,0.0,0.0,1.0,11.0,0.0,0.0,-39.713,0.9048374180359596,0.6695530015864749,0.0,1,0.5913080125675357,0.4746848432883597,1
18,50.0,13,105.312,290.894,10.0,-37.105,0,0,0,0.0,0.0,1.0,10.0,0.0,0.0,-37.105,0.9048374180359596,0.7011371755900839,0.0,1,0.5861805864534095,0.4790753821529107,1
18,51.0,13,113.708,304.536,9.0,-37.296,0,0,0,0.0,3.201891837803288,1.0,9.0,1.600945918901644,0.1479368131132672,-37.296,0.9048374180359596,0.6988240708221816,0.0,1,0.5725539105764985,0.4875813348528774,1
18,52.0,13,122.104,318.179,9.0,-39.302,0,0,0,0.0,5.066350156356037,1.0,9.0,5.066350156356037,0.3974803593958914,-39.302,0.9048374180359596,0.6745304155111235,0.0,1,0.5505785854112011,0.502206506348438,1
18,53.0,13,130.501,331.821,9.0,-41.249,0,0,0,0.0,5.173596875431571,1.0,9.0,5.173596875431571,0.4039076579204816,-41.249,0.9048374180359596,0.65095127947392,0.0,1,0.5568363577740674,0.49742711435311504,1
18,54.0,13,138.897,345.463,9.0,-43.035,0,0,0,0.0,3.5177110432800305,1.0,9.0,3.5177110432800305,0.2965588818225733,-43.035,0.9048374180359596,0.6293219333196081,0.0,1,0.5767348377800656,0.48390041424887786,1
18,55.0,13,147.293,359.105,8.0,-44.439,0,0,0,0.0,0.1579869529243183,1.0,8.0,0.0789934764621591,0.0078682297904272,-44.439,0.9048374180359596,0.6123187967011008,0.0,1,0.6205437422376413,0.45571691412673465,1
18,56.0,13,155.689,372.748,6.0,-45.681,0,0,0,0.0,0.0,1.0,6.0,0.0,0.0,-45.681,0.9048374180359596,0.5972775604616521,0.0,0,0.6347297753397653,0.44745737095940874,1
18,57.0,13,164.085,386.39,5.0,-46.119,0,0,0,0.0,0.0,1.0,5.0,0.0,0.0,-46.119,0.9048374180359596,0.5919731631404939,0.0,0,0.6406689206230692,0.4441517685532164,1
18,58.0,13,172.482,400.032,3.0,-35.796,0,0,0,0.0,0.0,1.0,3.0,0.0,0.0,-35.796,0.9048374180359596,0.7169898150727235,0.0,0,0.6118595772173133,0.46490621427012635,1
18,59.0,13,180.288,412.717,2.0,-36.285,0,0,0,0.0,0.0,1.0,2.0,0.0,0.0,-36.285,0.9048374180359596,0.7110677824470468,0.0,0,0.6179840130919729,0.4612043939424818,1
18,60.0,13,180.119,411.942,3.0,-31.301,0,0,0,0.0,0.0,1.0,3.0,0.0,0.0,-31.301,0.9048374180359596,0.7714264953435142,0.0,0,0.5955285731360762,0.4766828570235827,1
18,1.0,14,352.205,211.029,11.0,-43.989,0,0,0,0.0,40.617182034836944,1.0,11.0,40.617182034836944,0.9827805927624872,-43.989,0.9048374180359596,0.6177685199762634,0.0,1,0.44295529241064274,0.5508592087242075,0
18,2.0,14,362.098,209.428,11.0,-43.299,0,0,0,0.0,30.78570225010759,1.0,11.0,30.78570225010759,0.9539749849566234,-43.299,0.9048374180359596,0.6261247623315127,0.0,1,0.45921002132432237,0.5470498881392575,0
18,3.0,14,371.991,207.826,9.0,-39.543,0,0,0,0.0,20.92463303557878,1.0,9.0,6.974877678526259,0.5021655902794147,-39.543,0.9048374180359596,0.6716117859348697,0.0,0,0.5266737552495488,0.5101590951314867,1
18,4.0,14,381.884,206.224,9.0,-39.469,0,0,0,0.0,11.040554002255732,1.0,9.0,11.040554002255732,0.6684761082222711,-39.469,0.9048374180359596,0.6725079626512297,0.0,0,0.5144354526667698,0.5242814573560768,0
18,5.0,14,391.777,204.623,8.0,-36.692,0,0,0,0.0,1.1383533007914082,1.0,8.0,0.5691766503957041,0.0553281543163423,-36.692,0.9048374180359596,0.7061388105070664,0.0,0,0.5864653605316941,0.47935805927325054,1
18,6.0,14,401.67,203.021,8.0,-34.805,0,0,0,0.0,0.0,1.0,8.0,0.0,0.0,-34.805,0.9048374180359596,0.7289913167742481,0.0,0,0.5865199962720734,0.48010573327276396,1
18,7.0,14,411.563,201.42,9.0,-41.214,0,0,0,0.0,0.0,1.0,9.0,0.0,0.0,-41.214,0.9048374180359596,0.6513751468397659,0.0,0,0.6054570211654615,0.46574759053584036,1
