method,run_id,time,source,target,hop_count
classic_baseline,1,30.0,48,0,5
classic_baseline,1,30.0,49,33,5
classic_baseline,1,30.0,58,36,5
classic_baseline,1,30.0,54,89,2
classic_baseline,1,31.0,93,71,4
classic_baseline,1,31.0,84,91,3
classic_baseline,1,31.0,62,19,7
classic_baseline,1,31.0,24,37,4
classic_baseline,1,31.0,27,7,5
classic_baseline,1,32.0,74,94,6
classic_baseline,1,32.0,69,7,2
classic_baseline,1,32.0,74,61,4
classic_baseline,1,32.0,64,67,6
classic_baseline,1,32.0,20,7,4
classic_baseline,1,33.0,65,10,7
classic_baseline,1,33.0,23,8,7
classic_baseline,1,33.0,76,8,9
classic_baseline,1,33.0,86,30,2
classic_baseline,1,33.0,51,15,5
classic_baseline,1,34.0,72,31,4
classic_baseline,1,34.0,74,76,7
classic_baseline,1,34.0,5,79,2
classic_baseline,1,34.0,10,53,4
classic_baseline,1,34.0,84,74,3
classic_baseline,1,35.0,72,66,3
classic_baseline,1,35.0,40,33,9
classic_baseline,1,35.0,26,85,6
classic_baseline,1,35.0,91,40,8
classic_baseline,1,35.0,30,33,3
classic_baseline,1,36.0,50,16,5
classic_baseline,1,36.0,85,82,5
classic_baseline,1,36.0,38,58,3
classic_baseline,1,36.0,40,96,8
classic_baseline,1,36.0,9,1,7
classic_baseline,1,37.0,58,79,7
classic_baseline,1,37.0,72,12,5
classic_baseline,1,37.0,9,68,2
classic_baseline,1,37.0,27,64,2
classic_baseline,1,37.0,33,16,7
classic_baseline,1,38.0,44,8,5
classic_baseline,1,38.0,31,47,4
classic_baseline,1,38.0,36,20,6
classic_baseline,1,38.0,90,38,1
classic_baseline,1,38.0,78,83,3
classic_baseline,1,39.0,67,1,7
classic_baseline,1,39.0,85,70,7
classic_baseline,1,39.0,38,84,5
classic_baseline,1,39.0,13,17,6
classic_baseline,1,39.0,33,14,4
classic_baseline,1,40.0,13,95,4
classic_baseline,1,40.0,70,19,3
classic_baseline,1,40.0,34,36,6
classic_baseline,1,40.0,77,26,2
classic_baseline,1,40.0,91,43,4
classic_baseline,1,41.0,26,87,3
classic_baseline,1,41.0,81,33,3
classic_baseline,1,41.0,64,62,4
classic_baseline,1,41.0,32,6,1
classic_baseline,1,41.0,11,81,5
classic_baseline,1,42.0,54,35,2
classic_baseline,1,42.0,5,0,4
classic_baseline,1,42.0,42,98,5
classic_baseline,1,42.0,16,81,5
classic_baseline,1,42.0,33,20,3
classic_baseline,1,43.0,94,56,7
classic_baseline,1,43.0,70,90,1
classic_baseline,1,43.0,54,71,3
classic_baseline,1,43.0,1,14,6
classic_baseline,1,43.0,9,88,4
classic_baseline,1,44.0,19,69,3
classic_baseline,1,44.0,4,47,5
classic_baseline,1,44.0,74,70,1
classic_baseline,1,44.0,18,55,5
classic_baseline,1,44.0,16,5,4
classic_baseline,1,45.0,39,46,4
classic_baseline,1,45.0,5,45,3
classic_baseline,1,45.0,26,87,2
classic_baseline,1,45.0,31,85,6
classic_baseline,1,45.0,13,45,4
classic_baseline,1,46.0,99,71,4
classic_baseline,1,46.0,52,79,4
classic_baseline,1,46.0,95,19,4
classic_baseline,1,46.0,30,20,3
classic_baseline,1,46.0,22,52,2
classic_baseline,1,47.0,3,22,4
classic_baseline,1,47.0,94,42,6
classic_baseline,1,47.0,52,85,9
classic_baseline,1,47.0,94,31,2
classic_baseline,1,47.0,34,20,7
classic_baseline,1,48.0,89,13,2
classic_baseline,1,48.0,48,4,1
classic_baseline,1,48.0,60,28,5
classic_baseline,1,48.0,25,58,4
classic_baseline,1,48.0,44,39,2
classic_baseline,1,49.0,29,28,8
classic_baseline,1,49.0,3,84,3
classic_baseline,1,49.0,24,51,3
classic_baseline,1,49.0,42,35,4
classic_baseline,1,49.0,8,98,4
classic_baseline,1,50.0,35,44,4
classic_baseline,1,50.0,82,65,6
classic_baseline,1,50.0,51,86,4
classic_baseline,1,50.0,68,42,2
classic_baseline,1,50.0,3,14,2
classic_baseline,1,51.0,33,22,3
classic_baseline,1,51.0,74,33,2
classic_baseline,1,51.0,4,13,2
classic_baseline,1,51.0,76,55,7
classic_baseline,1,51.0,44,93,2
classic_baseline,1,52.0,40,55,6
classic_baseline,1,52.0,77,65,5
classic_baseline,1,52.0,14,49,4
classic_baseline,1,52.0,73,24,1
classic_baseline,1,52.0,32,5,3
classic_baseline,1,53.0,90,55,3
classic_baseline,1,53.0,0,66,1
classic_baseline,1,53.0,68,87,4
classic_baseline,1,53.0,92,94,7
classic_baseline,1,53.0,94,85,6
classic_baseline,1,54.0,25,46,3
