method,n_samples,avg_reliability,min_reliability,avg_hops,baseline_avg_reliability,baseline_min_reliability,baseline_avg_hops,delta_avg_rel_pct,delta_min_rel_pct,delta_hops
ours,9000,0.821605435467559,0.8031223386598303,4.246888888888889,0.8092355553334442,0.7896906166899439,4.207777777777777,1.5285883143157122,1.7008840786517914,0.03911111111111154
paper_baseline,9000,0.33925875158536795,0.32555699335047456,4.207777777777777,0.33925875158536795,0.32555699335047456,4.207777777777777,0.0,0.0,0.0
