method,run_id,time,source,target,ml_avg_reliability,ml_min_reliability,ml_hops,base_avg_reliability,base_min_reliability,base_hops
ours,1,113.0,70,16,0.7383378732160921,0.650968457859204,7,0.6707222346251841,0.4988001234863466,6
ours,1,113.0,36,56,0.7331719867899403,0.686026471172746,6,0.5085616256134449,0.31431056583439343,6
ours,1,113.0,89,62,0.3688217559717608,0.3560920755496233,2,0.3688217559717608,0.3560920755496233,2
ours,1,113.0,15,3,0.8078008803916695,0.7911628492591909,5,0.8044074284970846,0.7911628492591909,5
ours,1,114.0,80,77,0.6859074773052241,0.585343083486857,6,0.5806287083166408,0.41145294770991225,6
ours,1,114.0,20,39,0.7316524484271173,0.6284343595860453,7,0.6212620366080907,0.3246171981217254,6
ours,1,114.0,70,1,0.7861950667547672,0.6603365713123271,8,0.7328873063518332,0.5868123997658643,7
ours,1,114.0,70,52,0.6590161826292896,0.3246171981217254,7,0.4242998690880154,0.3149732504718279,4
ours,1,114.0,14,59,0.3650307386453937,0.35941806119570907,2,0.2924176041250639,0.2924176041250639,2
ours,1,115.0,15,82,0.7280277449536973,0.6801927001530932,7,0.5658681923274281,0.49243615361614745,6
ours,1,115.0,19,63,0.7854931349914005,0.6974442356942183,9,0.6698018076354281,0.49243615361614745,7
ours,1,115.0,91,37,0.7462030819561178,0.7017216719040588,8,0.43689060954408393,0.238462383531304,5
ours,1,115.0,65,90,0.6649122660709024,0.4945123054747367,8,0.5546218756867273,0.35919793769969544,6
ours,1,115.0,61,60,0.7930729844107496,0.7930729844107496,2,0.7930729844107496,0.7930729844107496,2
ours,1,116.0,31,58,0.6962047643412561,0.6962047643412561,1,0.6962047643412561,0.6962047643412561,1
ours,1,116.0,70,18,0.6947720436795474,0.3304414814215837,6,0.46764730645337504,0.3304414814215837,4
ours,1,116.0,49,24,0.4237498012401469,0.33235245064887775,2,0.42095012345053995,0.33235245064887775,2
ours,1,116.0,76,65,0.7620312187639324,0.7620312187639324,1,0.7620312187639324,0.7620312187639324,1
ours,1,116.0,98,53,0.757158461049368,0.6901597025996462,5,0.6782147125863457,0.5707548879360248,5
ours,1,117.0,43,64,0.7063183289037672,0.6024736926325354,9,0.47400603014942905,0.4084237038900481,6
ours,1,117.0,36,92,0.7500903892309758,0.7444104540741656,4,0.6833718022073945,0.6265762151277838,4
ours,1,117.0,38,75,0.2458108085843952,0.14884252560693323,2,0.1811963369797272,0.14884252560693323,2
ours,1,117.0,74,84,0.7201573615785609,0.6265762151277838,10,0.5736582757911313,0.22378926955322564,10
ours,1,117.0,62,19,0.6304047519842785,0.3348672143480924,5,0.6258811423578795,0.3348672143480924,5
ours,1,118.0,57,68,0.3233621431881979,0.3233621431881979,1,0.3233621431881979,0.3233621431881979,1
ours,1,118.0,61,44,0.6689627612943426,0.6248812048746394,3,0.2238136125956415,0.20269374060442757,3
ours,1,118.0,42,70,0.7397728472410116,0.6975374422561003,3,0.7397728472410116,0.6975374422561003,3
ours,1,118.0,97,69,0.7481762056965706,0.6910035395041941,11,0.5447750953439461,0.20269374060442757,9
ours,1,118.0,48,58,0.7548670595123763,0.7548670595123763,2,0.7548670595123763,0.7548670595123763,2
ours,1,119.0,41,24,0.6658842461353996,0.4245116338568711,6,0.5355062981952877,0.4072454007287263,4
ours,1,119.0,89,30,0.7015342352724341,0.6321910304879377,9,0.4869289813132796,0.23556731280710086,7
ours,1,119.0,73,49,0.6989716267533747,0.5923411659888912,6,0.45528614132103035,0.23556731280710086,5
ours,1,119.0,29,99,0.8332794767573852,0.7993934966659982,4,0.7515472487295544,0.7286076975475859,3
ours,1,119.0,52,5,0.3161427472935252,0.3161427472935252,1,0.3161427472935252,0.3161427472935252,1
ours,1,120.0,60,90,0.7595630952832653,0.674270304371278,8,0.5506100214861902,0.2619517283587066,7
ours,1,120.0,48,49,0.6557780120796782,0.5209639371633283,2,0.6557780120796782,0.5209639371633283,2
ours,1,120.0,84,83,0.7750635487774448,0.7490430112046206,6,0.7658167349516124,0.7420414653636949,6
ours,1,120.0,19,63,0.766249021476919,0.674270304371278,9,0.5639305133960681,0.3681452021165498,7
ours,1,120.0,64,75,0.45924373759567494,0.42784355964119924,5,0.4197296913274354,0.3346541189109953,5
ours,1,121.0,42,12,0.5855687715281083,0.4693238730056636,3,0.47633558860393377,0.41565738946868325,3
ours,1,121.0,56,12,0.6034770039984897,0.4693238730056636,3,0.5578475357671683,0.4693238730056636,3
ours,1,121.0,67,58,0.5458872149573599,0.4149255889628838,4,0.5374723375704809,0.38393946964817416,4
ours,1,121.0,1,92,0.7165752247565158,0.5963772360858737,6,0.4564763375436655,0.20060462453305072,5
ours,1,121.0,18,52,0.41105737402916664,0.3650105448898182,2,0.38251290887990663,0.3650105448898182,2
ours,1,122.0,83,19,0.8970886492974188,0.8970886492974188,1,0.8970886492974188,0.8970886492974188,1
ours,1,122.0,9,60,0.5392296383813273,0.5392296383813273,2,0.5392296383813273,0.5392296383813273,2
ours,1,122.0,33,43,0.7611526547868391,0.6196275078124828,8,0.46331086584386555,0.4042524637644609,5
ours,1,122.0,79,88,0.5902324744508931,0.4450485383450111,4,0.5307071997237631,0.4042524637644609,4
ours,1,122.0,50,83,0.8243969215339655,0.7930455652339831,8,0.7097663693809996,0.619550396017997,7
ours,1,123.0,10,42,0.7808847893955304,0.6560426342896575,5,0.7596540145350392,0.6560426342896575,5
ours,1,123.0,86,68,0.6024424498085478,0.48006461864770766,4,0.6024424498085478,0.48006461864770766,4
ours,1,123.0,48,40,0.7191381663432478,0.6322006850432013,7,0.5153723466019368,0.4454585836834646,5
ours,1,123.0,80,91,0.5106209125533226,0.31476279301436927,3,0.5008102955218213,0.31476279301436927,3
ours,1,123.0,97,62,0.700159978462133,0.513504254952658,6,0.6560840109050996,0.4454585836834646,5
ours,1,124.0,69,4,0.7875171981727239,0.6957951792174722,12,0.5825027070110578,0.4803180115306813,10
ours,1,124.0,79,8,0.49002355380411916,0.2605098520175595,3,0.4036364169871269,0.2605098520175595,3
ours,1,124.0,30,80,0.5125981345966945,0.4115264827868068,3,0.5125981345966945,0.4115264827868068,3
ours,1,124.0,87,36,0.617268857404846,0.47555081914604536,2,0.617268857404846,0.47555081914604536,2
ours,1,124.0,29,95,0.7261461518008276,0.6778920349475042,7,0.7261461518008276,0.6778920349475042,7
ours,1,125.0,11,55,0.7306962900756709,0.5889712943053029,11,0.6807423658445865,0.45779859252042854,9
ours,1,125.0,12,97,0.6918243798523451,0.6406087166391725,6,0.6378134507122695,0.5367206671323852,5
ours,1,125.0,81,90,0.6943410465748843,0.5889712943053029,9,0.5300482524051272,0.38169327385289775,7
ours,1,125.0,12,56,0.5434284582716098,0.41892436070281525,2,0.5250211307762601,0.41892436070281525,2
ours,1,125.0,21,88,0.6406087166391725,0.6406087166391725,1,0.6406087166391725,0.6406087166391725,1
ours,1,126.0,38,3,0.6350565833883627,0.482744943703876,6,0.6110365562842949,0.47198707571507614,6
ours,1,126.0,5,41,0.5577169150511971,0.47092619271700964,4,0.42635183956449935,0.3559725318886784,3
ours,1,126.0,7,37,0.7475418965716759,0.68054076367957,9,0.5927091830585207,0.47198707571507614,7
ours,1,126.0,45,47,0.6749542625096155,0.6406047077898365,3,0.6749542625096155,0.6406047077898365,3
ours,1,126.0,55,18,0.6611903251310175,0.4895044411491901,8,0.48106850801469764,0.4692966520824151,6
ours,1,127.0,31,67,0.6032853057474735,0.5058763695964883,5,0.5690018698892557,0.49677336201256084,5
ours,1,127.0,52,72,0.6097372421489298,0.5445186068323199,2,0.6097372421489298,0.5445186068323199,2
ours,1,127.0,87,23,0.65204886977791,0.4010220415379415,7,0.5225417915764948,0.4010220415379415,6
ours,1,127.0,21,22,0.6038896881476566,0.5320433666554363,3,0.5554466173124853,0.49677336201256084,3
ours,1,127.0,10,78,0.7477661561860421,0.5498053346392603,6,0.6118051748184903,0.45569259555618413,4
ours,1,128.0,48,79,0.7397176935741687,0.5891551554950238,9,0.551649035705245,0.3508185300812855,7
ours,1,128.0,87,30,0.3179850684972281,0.3179850684972281,1,0.3179850684972281,0.3179850684972281,1
ours,1,128.0,63,74,0.7059593246024572,0.6410820109255151,3,0.40068101744835755,0.29986255304323906,3
ours,1,128.0,18,29,0.6875467377950607,0.5985099578007613,10,0.5452752261788486,0.34064558865029304,9
ours,1,128.0,59,81,0.5891551554950238,0.5891551554950238,1,0.5891551554950238,0.5891551554950238,1
ours,1,129.0,1,59,0.6938837525226137,0.49801791623816416,8,0.5271346436277875,0.34032204623867024,7
ours,1,129.0,36,86,0.5478028089439734,0.4161971126478077,3,0.39012165364301304,0.26837149673697747,3
ours,1,129.0,9,56,0.6219127255239975,0.6006148586255555,2,0.551323742689762,0.551323742689762,2
ours,1,129.0,44,75,0.24454448598493617,0.24454448598493617,1,0.24454448598493617,0.24454448598493617,1
ours,1,129.0,38,81,0.5510472638362661,0.5097599120268572,3,0.5510472638362661,0.5097599120268572,3
ours,1,130.0,54,88,0.7513183677939944,0.6672564715944086,7,0.6951346247415897,0.5443439328358315,7
ours,1,130.0,38,25,0.5435163893764384,0.42989939570620106,3,0.33299850494447575,0.18342528987186868,3
ours,1,130.0,49,61,0.592170688486037,0.592170688486037,2,0.592170688486037,0.592170688486037,2
ours,1,130.0,13,30,0.4471246476917605,0.22087340385702015,3,0.4075721801038515,0.22087340385702015,3
ours,1,130.0,48,73,0.6355462300657215,0.4779305687091401,6,0.6355462300657215,0.4779305687091401,6
ours,1,131.0,45,73,0.5974158162013716,0.5571250254965237,5,0.5974158162013716,0.5571250254965237,5
ours,1,131.0,37,89,0.7483117069500781,0.7168154205740155,3,0.6200989957817807,0.6171980457249693,3
ours,1,131.0,37,2,0.7815359586507484,0.7640598501381094,5,0.7645015017224559,0.7214737078173781,5
ours,1,131.0,84,50,0.6960709410643805,0.5553754046138928,6,0.6946427775667919,0.5553754046138928,6
ours,1,131.0,72,87,0.6001005568529585,0.35872563300458515,4,0.5720310630558961,0.35872563300458515,4
ours,1,132.0,99,95,0.7451467363231185,0.7347772024627477,5,0.6133798934053022,0.40536009516820704,5
ours,1,132.0,6,77,0.7071560563271964,0.5748582514519887,5,0.5328155636044128,0.40536009516820704,4
ours,1,132.0,95,63,0.737048798926236,0.737048798926236,1,0.737048798926236,0.737048798926236,1
ours,1,132.0,36,99,0.593720887002916,0.40536009516820704,2,0.593720887002916,0.40536009516820704,2
ours,1,132.0,45,28,0.6975066762079316,0.6848089496682377,3,0.6810443276784754,0.67978374747438,3
ours,1,133.0,81,24,0.6361870560982711,0.5309396156068562,7,0.5709174855074834,0.47535112249245093,7
ours,1,133.0,86,96,0.5812769396123431,0.47535112249245093,4,0.5249896155764311,0.4851813121628038,4
ours,1,133.0,92,98,0.7480357391191056,0.7318723662918497,3,0.6518967175345756,0.6415142285995397,3
ours,1,133.0,84,87,0.7126183396656655,0.44345560155707964,7,0.6582338684552719,0.44345560155707964,6
ours,1,133.0,17,80,0.6923604744683071,0.5293462785703934,6,0.6231045266846448,0.5293462785703934,5
ours,1,134.0,12,80,0.6954975329065348,0.5930737577682125,4,0.6793144283162417,0.5930737577682125,4
ours,1,134.0,82,5,0.46125988496237036,0.46125988496237036,1,0.46125988496237036,0.46125988496237036,1
ours,1,134.0,39,56,0.7080805283024011,0.6590826305208457,5,0.5618993261320163,0.4710336639778092,5
ours,1,134.0,4,74,0.7095126308784455,0.6590826305208457,7,0.5521714894123482,0.4268907784292445,5
ours,1,134.0,46,93,0.469017196936362,0.469017196936362,1,0.469017196936362,0.469017196936362,1
ours,1,135.0,16,11,0.7639722181285858,0.7070247370099482,3,0.7639722181285858,0.7070247370099482,3
ours,1,135.0,37,41,0.706527750970094,0.6874371553989769,4,0.5533240841455825,0.4625735070511061,3
ours,1,135.0,95,53,0.6944725435974556,0.5406359929910961,6,0.6076426607360156,0.4008450145694067,6
ours,1,135.0,22,25,0.41335653222659674,0.41335653222659674,1,0.41335653222659674,0.41335653222659674,1
ours,1,135.0,16,69,0.7801322939545281,0.7070247370099482,5,0.754247107328872,0.6859792340056042,5
ours,1,136.0,46,67,0.5008976019499137,0.5008976019499137,1,0.5008976019499137,0.5008976019499137,1
ours,1,136.0,64,34,0.77789847156317,0.7329635103512327,5,0.7650789159955997,0.7329635103512327,5
ours,1,136.0,21,32,0.7212094383636607,0.6996224788013499,4,0.7212094383636607,0.6996224788013499,4
ours,1,136.0,61,37,0.6996224788013499,0.6996224788013499,2,0.5453729843983859,0.5453729843983859,2
ours,1,136.0,95,43,0.6433528618836059,0.560329098080635,5,0.6259140766679622,0.5407622213278959,5
ours,1,137.0,14,59,0.7558240110608804,0.7297611453486474,5,0.7420404702330018,0.7297611453486474,5
ours,1,137.0,9,18,0.7861769631562447,0.7670174501466216,5,0.7720183144992608,0.7450423699251707,5
ours,1,137.0,96,28,0.5909237506239491,0.5909237506239491,1,0.5909237506239491,0.5909237506239491,1
ours,1,137.0,86,92,0.7166725836733694,0.6650728660934806,4,0.673259666058265,0.6615342883812677,4
ours,1,137.0,86,50,0.7540574780017876,0.4764660977524291,6,0.588539885571154,0.4764660977524291,4
ours,1,138.0,71,46,0.568337937302261,0.5006949695301397,4,0.545161256756227,0.5006949695301397,4
ours,1,138.0,11,50,0.6868822778963981,0.5219033928251712,6,0.6099359213041149,0.48831788910679497,6
ours,1,138.0,1,33,0.6172578899374043,0.4956991172925861,6,0.6172578899374043,0.4956991172925861,6
ours,1,138.0,68,15,0.6524570132701702,0.4956991172925861,5,0.6505661666835214,0.4956991172925861,5
ours,1,138.0,58,47,0.8025109442551652,0.6555940358603226,9,0.7997810941122457,0.6555940358603226,9
ours,1,139.0,86,95,0.7697825708908589,0.5913164643534224,10,0.7192869337766344,0.5207879410366111,10
ours,1,139.0,86,33,0.763644091719195,0.5913164643534224,11,0.7177389670698999,0.5207879410366111,11
ours,1,139.0,74,48,0.6978579937327946,0.5913164643534224,7,0.5406951806700162,0.5090447002775282,5
ours,1,139.0,81,47,0.7639926598159368,0.6512930901927226,9,0.7561066975747879,0.6512930901927226,9
ours,1,139.0,13,86,0.7715753499965636,0.5913164643534224,9,0.7116908310635393,0.5207879410366111,9
ours,1,140.0,29,60,0.7541630861406285,0.6175599957448085,10,0.689682201035702,0.4600335626115978,10
ours,1,140.0,3,79,0.49338404301282807,0.4600335626115978,2,0.49338404301282807,0.4600335626115978,2
ours,1,140.0,71,41,0.6253915432343716,0.5578170972736398,6,0.4874009417360396,0.44530717634812933,5
ours,1,140.0,78,28,0.7118846354666964,0.6667979936410875,4,0.5655103183360327,0.5148664806835053,3
ours,1,140.0,82,8,0.7163566972044745,0.6170797022557662,6,0.6704491366336915,0.563269690421434,6
ours,1,141.0,81,59,0.690753179172792,0.6732496209904215,6,0.6387082430447382,0.5581060828027367,5
ours,1,141.0,89,38,0.6799564872441819,0.6435994022652458,5,0.6799564872441819,0.6435994022652458,5
ours,1,141.0,83,52,0.6887041891961238,0.5378229948922435,4,0.687923625481921,0.5378229948922435,4
ours,1,141.0,14,17,0.7039868511618779,0.6311989087507508,2,0.7039868511618779,0.6311989087507508,2
ours,1,141.0,5,4,0.6373268528733947,0.5778687655654345,3,0.48472905927500215,0.3935656406488157,3
ours,1,142.0,38,63,0.7910846094446372,0.7225998025031477,6,0.7509541405126205,0.6816156556931912,5
ours,1,142.0,14,12,0.6779399799326772,0.6690338023331066,3,0.6779399799326772,0.6690338023331066,3
ours,1,142.0,30,68,0.5461682147683833,0.3764984867856134,5,0.4784427601138444,0.3229782770330426,5
ours,1,142.0,17,49,0.758556787933883,0.7249014023501041,3,0.6876563356721057,0.6690338023331066,3
ours,1,142.0,58,47,0.7182271467015297,0.6901773647364201,7,0.6730393560777951,0.6496120082629646,7
ours,1,143.0,85,95,0.7090555873844656,0.6860000362992611,6,0.5563223887472223,0.4054292753389508,5
ours,1,143.0,89,69,0.7602716404097529,0.6716403618288486,10,0.6144921304519977,0.4054292753389508,8
ours,1,143.0,53,75,0.5758474223643996,0.5758474223643996,1,0.5758474223643996,0.5758474223643996,1
ours,1,143.0,95,93,0.654382495541423,0.5498054497467477,5,0.5834986597207783,0.4054292753389508,4
ours,1,143.0,19,53,0.7084579635096985,0.5758474223643996,6,0.6608451662357603,0.5758474223643996,6
ours,1,144.0,83,12,0.6246212844890309,0.6228960485169674,4,0.5962172180906917,0.535136024783994,4
ours,1,144.0,62,78,0.7023815514865808,0.6566355820156994,3,0.6758415023970756,0.6566355820156994,3
ours,1,144.0,52,35,0.7435620211796582,0.65558290026919,7,0.6441615108219129,0.35426522618562306,7
ours,1,144.0,4,88,0.7401729211737023,0.7401729211737023,1,0.7401729211737023,0.7401729211737023,1
ours,1,144.0,47,27,0.7725226613398779,0.7212460668689344,4,0.7725226613398779,0.7212460668689344,4
ours,1,145.0,56,30,0.7373425445834302,0.7015531405705396,5,0.5833822246308492,0.5293419168885228,4
ours,1,145.0,46,12,0.5993961453998846,0.5392383920291218,4,0.5354495348766393,0.411345170982631,4
ours,1,145.0,87,47,0.6834493350668825,0.556262866470258,4,0.5813698752438894,0.556262866470258,4
ours,1,145.0,69,82,0.8662337668937291,0.8629956217639054,3,0.8662337668937291,0.8629956217639054,3
ours,1,145.0,45,7,0.6202303456208202,0.6068641586279798,2,0.6202303456208202,0.6068641586279798,2
ours,1,146.0,50,35,0.7979275613064624,0.5095886162589993,12,0.6057919928640059,0.3875191148406607,7
ours,1,146.0,24,15,0.7354968020288869,0.5192261502625928,4,0.7354968020288869,0.5192261502625928,4
ours,1,146.0,58,11,0.7083391388729726,0.5534907153024071,7,0.6971045096713632,0.5534907153024071,7
ours,1,146.0,84,27,0.8057018716813141,0.7298375163209457,10,0.716267490605984,0.4776117411923627,9
ours,1,146.0,82,81,0.7750923371849833,0.7298375163209457,6,0.6277336226176493,0.4776117411923627,6
ours,1,147.0,76,2,0.7248417825536442,0.5782671304136209,9,0.5350359200748549,0.4386018472612623,7
ours,1,147.0,6,42,0.7095234147377263,0.6471689389467687,4,0.6719267308352432,0.5983188125954687,4
ours,1,147.0,31,16,0.5759705944949606,0.5647964854447064,3,0.5759705944949606,0.5647964854447064,3
ours,1,147.0,72,26,0.7025784736370096,0.7025784736370096,1,0.7025784736370096,0.7025784736370096,1
ours,1,147.0,8,97,0.6754789625897919,0.6248068308076651,4,0.613974750134785,0.5647964854447064,4
ours,1,148.0,70,26,0.7539053919165427,0.7539053919165427,1,0.7539053919165427,0.7539053919165427,1
ours,1,148.0,75,27,0.6573097320450623,0.33197611376369585,5,0.5511158015063972,0.33197611376369585,5
ours,1,148.0,29,42,0.7868569689162066,0.7473264224455779,9,0.5398434191360274,0.38579445835741677,8
ours,1,148.0,99,18,0.6895787770175833,0.5818005389072697,6,0.47273279919003103,0.38579445835741677,5
ours,1,148.0,76,0,0.7140705990866509,0.6887739242793588,2,0.6336215970504273,0.6336215970504273,2
ours,1,149.0,35,18,0.7189213143502294,0.6291581582342234,6,0.7062976078474027,0.6291581582342234,6
ours,1,149.0,16,69,0.7747416195731298,0.63447607530341,9,0.6591404631236719,0.5859783255929553,8
ours,1,149.0,32,22,0.7179451044866508,0.5770997473687451,4,0.7179451044866508,0.5770997473687451,4
ours,1,149.0,14,84,0.8108011111444098,0.6382197845224314,4,0.8108011111444098,0.6382197845224314,4
ours,1,149.0,3,16,0.5990670136631733,0.4363209522175657,5,0.5955864016993534,0.4363209522175657,5
ours,1,150.0,1,45,0.740378116483283,0.5515934470312743,10,0.5055016997403122,0.4118324316113301,6
ours,1,150.0,30,75,0.6215187124658801,0.4386356766453209,5,0.4694761020441477,0.35153646943751493,4
ours,1,150.0,41,2,0.600250266832994,0.600250266832994,2,0.600250266832994,0.600250266832994,2
ours,1,150.0,22,33,0.6152858391418318,0.6085750209483025,3,0.6152858391418318,0.6085750209483025,3
ours,1,150.0,6,16,0.7042134602724576,0.7029932742444074,3,0.7042134602724576,0.7029932742444074,3
ours,1,151.0,94,53,0.7510550660579609,0.6039073390581723,6,0.5674061276694337,0.38557307746628067,5
ours,1,151.0,67,14,0.5801346935036497,0.44146554932448734,3,0.5801346935036497,0.44146554932448734,3
ours,1,151.0,95,8,0.7147548092815789,0.6494692655932308,9,0.5566712119230551,0.3791191944419874,9
ours,1,151.0,99,46,0.5603516253118256,0.5603516253118256,1,0.5603516253118256,0.5603516253118256,1
ours,1,151.0,65,75,0.6731311073758329,0.5455009063457016,7,0.48250909472282794,0.3791191944419874,6
ours,1,152.0,64,28,0.7429920121270055,0.6852815271553511,9,0.6342682211679062,0.5209512953963868,7
ours,1,152.0,78,5,0.6866487327206753,0.6365598353907066,4,0.6866487327206753,0.6365598353907066,4
ours,1,152.0,93,84,0.6923934324699003,0.481865205770424,4,0.6923934324699003,0.481865205770424,4
ours,1,152.0,66,38,0.6293953930464605,0.5074436417271526,3,0.5123243754346526,0.39667511154213786,3
ours,1,152.0,58,82,0.7524434507355149,0.6842045835435002,8,0.46667865941902376,0.32215011993395914,8
ours,1,153.0,3,7,0.5772480725731779,0.44477439924252904,2,0.5772480725731779,0.44477439924252904,2
ours,1,153.0,61,51,0.7048076119474179,0.6733055429946003,6,0.6931142265349566,0.6382253867572163,6
ours,1,153.0,54,87,0.6726156939410817,0.5430497004358037,5,0.5756668720450168,0.43739450722995965,5
ours,1,153.0,13,62,0.6922300767973733,0.6382253867572163,3,0.6922300767973733,0.6382253867572163,3
ours,1,153.0,91,56,0.6976159137113112,0.43739450722995965,5,0.6155659034512264,0.43739450722995965,4
ours,1,154.0,9,10,0.6869538839484794,0.6248887594622432,7,0.6869538839484794,0.6248887594622432,7
ours,1,154.0,41,77,0.7238444911388257,0.7238444911388257,1,0.7238444911388257,0.7238444911388257,1
ours,1,154.0,18,8,0.7102815092165706,0.6669475262001758,4,0.7102815092165706,0.6669475262001758,4
ours,1,154.0,79,81,0.6208972873621955,0.5225674626649145,3,0.607650665910692,0.5225674626649145,3
ours,1,154.0,74,70,0.6818509300256353,0.516319184051742,5,0.647741088116995,0.516319184051742,5
ours,1,155.0,91,41,0.7272423142509051,0.6891697900741887,8,0.5985384055357966,0.4084860566625971,7
ours,1,155.0,48,76,0.7079201118678942,0.5070100226852464,7,0.6401235118882358,0.5070100226852464,7
ours,1,155.0,67,37,0.7485740575165171,0.6735914268245756,5,0.7035718178565896,0.667080483312103,5
ours,1,155.0,58,64,0.6872501324193306,0.6358982935560588,4,0.6647509391158775,0.6281559258952638,4
ours,1,155.0,77,55,0.7379962728935404,0.6168940306719732,7,0.545003978058678,0.4084860566625971,5
ours,1,156.0,12,89,0.7139139491270654,0.7058048958416641,4,0.696289095401707,0.6841852106071284,4
ours,1,156.0,14,83,0.7010925434933124,0.5972171538810463,4,0.7010925434933124,0.5972171538810463,4
ours,1,156.0,83,98,0.5494862449261362,0.5494862449261362,1,0.5494862449261362,0.5494862449261362,1
ours,1,156.0,70,92,0.7353981008190724,0.7125346190545891,5,0.630533475459855,0.5507985490599803,5
ours,1,156.0,27,55,0.7320255430591943,0.6869255727546321,3,0.5363659057313206,0.5363659057313206,2
ours,1,157.0,52,43,0.6245475190804289,0.614120476529278,3,0.2860146618490418,0.2860146618490418,2
ours,1,157.0,58,51,0.700145620876254,0.5897315448674478,6,0.6923241780666105,0.5897315448674478,6
ours,1,157.0,53,93,0.5911844604815883,0.5911844604815883,1,0.5911844604815883,0.5911844604815883,1
ours,1,157.0,12,40,0.6016087843238562,0.5175558705523584,3,0.2860146618490418,0.2860146618490418,2
ours,1,157.0,54,40,0.6227575963310866,0.5175558705523584,4,0.4800415572833147,0.2860146618490418,4
ours,1,158.0,85,32,0.6533016089838055,0.6150228118609288,2,0.6533016089838055,0.6150228118609288,2
ours,1,158.0,47,19,0.6982035159454859,0.657506094532349,6,0.5887924707232847,0.4921511109055172,5
ours,1,158.0,87,60,0.6452334285037646,0.5467339561017788,4,0.6157939376944854,0.5467339561017788,4
ours,1,158.0,8,11,0.6999320690669618,0.660485438922456,7,0.611597551974093,0.4921511109055172,7
ours,1,158.0,10,11,0.700739586596712,0.660485438922456,8,0.5891813244890374,0.4921511109055172,8
ours,1,159.0,55,12,0.7250634636200707,0.6591004880919833,7,0.5865908207136993,0.41993272775496515,5
ours,1,159.0,95,94,0.7612017455536849,0.5622712742371336,3,0.7377672820386292,0.5622712742371336,3
ours,1,159.0,47,16,0.7474096775324106,0.7339088274795036,2,0.7474096775324106,0.7339088274795036,2
ours,1,159.0,71,7,0.6386137087462176,0.5622712742371336,8,0.5748267179991906,0.41993272775496515,7
ours,1,159.0,75,71,0.6511597768942429,0.6405388606986293,4,0.5242466074124282,0.39262754896883045,4
ours,1,160.0,71,42,0.6977459515903216,0.5943192286416886,2,0.6977459515903216,0.5943192286416886,2
ours,1,160.0,85,15,0.711620756080236,0.6833620516198646,3,0.711620756080236,0.6833620516198646,3
ours,1,160.0,52,45,0.7303198817354579,0.6652039266063597,5,0.6056757972020251,0.5774588300810275,4
ours,1,160.0,85,96,0.6996224511761906,0.6357248858564474,5,0.617581423082892,0.5774588300810275,5
ours,1,160.0,54,92,0.7032574479537096,0.6960241654268531,3,0.7032574479537096,0.6960241654268531,3
ours,1,161.0,6,36,0.7329501829204816,0.7172039371186105,2,0.7329501829204816,0.7172039371186105,2
ours,1,161.0,76,39,0.4718013746466827,0.4718013746466827,1,0.4718013746466827,0.4718013746466827,1
ours,1,161.0,45,13,0.6624320977600355,0.6624320977600355,2,0.6624320977600355,0.6624320977600355,2
ours,1,161.0,73,64,0.6633210298337935,0.5676607605675104,5,0.6427200324110178,0.5676607605675104,5
ours,1,161.0,27,19,0.8151784660716371,0.7515915646173512,6,0.8100134965006739,0.743428492742549,6
ours,1,162.0,84,61,0.7460293058448834,0.6318860675405908,9,0.707543122322574,0.5986242438985546,9
ours,1,162.0,28,13,0.636277478079582,0.6075088825680914,4,0.603066563233323,0.5986242438985546,4
ours,1,162.0,44,71,0.683409748450221,0.6154104048640051,6,0.6177023455532323,0.5799421237718803,5
ours,1,162.0,47,14,0.765053164562818,0.6712395576087679,5,0.7329271000720522,0.5986242438985546,5
ours,1,162.0,97,35,0.6787413513861041,0.6075088825680914,6,0.6787413513861041,0.6075088825680914,6
ours,1,163.0,73,28,0.6155940426768369,0.5517438104282063,3,0.6155940426768369,0.5517438104282063,3
ours,1,163.0,54,71,0.5900729999896434,0.5781355607261194,2,0.5900729999896434,0.5781355607261194,2
ours,1,163.0,98,79,0.7194478901616538,0.6373249152510854,5,0.6772453214897051,0.621193236176739,5
ours,1,163.0,78,86,0.6724314073288881,0.5815569355782777,3,0.6303495812738938,0.5815569355782777,3
ours,1,163.0,82,71,0.6477340968237951,0.5781355607261194,6,0.6477340968237951,0.5781355607261194,6
ours,1,164.0,3,77,0.6704887724002702,0.595525586168389,4,0.6704887724002702,0.595525586168389,4
ours,1,164.0,34,3,0.6972560927702866,0.6972560927702866,1,0.6972560927702866,0.6972560927702866,1
ours,1,164.0,23,34,0.7156116856504223,0.6771796244090672,7,0.6359006817720537,0.5747642915926215,7
ours,1,164.0,89,97,0.5441322151917668,0.5441322151917668,1,0.5441322151917668,0.5441322151917668,1
ours,1,164.0,39,43,0.694763292286836,0.5747642915926215,6,0.600626720757248,0.5747642915926215,6
ours,1,165.0,44,0,0.7393153588748759,0.6628965485126823,7,0.6783977471497363,0.5015946413478974,6
ours,1,165.0,23,18,0.7157107304278019,0.46480914226456027,6,0.5437075402386139,0.4300650966787466,5
ours,1,165.0,72,84,0.7583694163193849,0.7111292037842705,6,0.6450554441845883,0.4300650966787466,5
ours,1,165.0,51,8,0.6813049112817853,0.6463384333012017,4,0.5723023698656211,0.5015946413478974,4
ours,1,165.0,18,94,0.6669619044214677,0.46480914226456027,4,0.5554918545977943,0.4203281048850611,4
