nodeA,nodeB,distance,time,link_status
5,23,54.316,1,1
5,24,45.138,1,1
5,25,38.9972,1,1
5,26,44.3045,1,1
5,27,56.2233,1,1
5,28,71.3616,1,1
5,29,92.6136,1,1
5,30,113.567,1,0
5,31,101.215,1,0
5,32,83.3604,1,1
5,33,71.4015,1,1
5,34,63.7686,1,1
5,35,59.1577,1,1
5,36,61.2213,1,1
5,37,73.8295,1,1
5,38,86.2535,1,1
5,39,99.4218,1,1
5,40,126.129,1,0
5,41,113.195,1,0
5,42,99.865,1,1
5,43,86.6537,1,1
5,44,83.1049,1,1
5,45,81.1259,1,1
5,46,81.7106,1,1
5,47,88.8936,1,1
5,48,100.257,1,0
5,49,113.031,1,0
6,7,19.1463,1,1
6,8,39.7754,1,1
6,9,60.2295,1,1
6,10,118.88,1,0
6,11,100.653,1,0
6,12,84.4451,1,1
6,13,64.3357,1,1
6,14,46.7138,1,1
6,15,26.268,1,1
6,16,20.6686,1,1
6,17,26.5359,1,1
6,18,44.0824,1,1
6,19,62.5591,1,1
6,20,124.571,1,0
6,21,107.833,1,0
6,22,90.6919,1,1
6,23,69.7449,1,1
6,24,56.9007,1,1
6,25,43.6062,1,1
6,26,39.2626,1,1
6,27,43.6643,1,1
6,28,55.4642,1,1
6,29,74.9869,1,1
6,30,131.309,1,0
6,31,117.841,1,0
6,32,98.6111,1,1
6,33,84.2533,1,1
6,34,72.4804,1,1
6,35,62.7119,1,1
6,36,57.3324,1,1
6,37,65.2152,1,1
6,38,73.0973,1,1
6,39,84.2756,1,1
6,40,142.39,1,0
6,41,128.462,1,0
6,42,112.793,1,0
6,43,97.455,1,1
6,44,89.9363,1,1
6,45,83.3288,1,1
6,46,79.2043,1,1
6,47,81.7339,1,1
6,48,89.7251,1,1
6,49,99.743,1,1
7,8,20.6741,1,1
7,9,41.1038,1,1
7,10,137.619,1,0
7,11,119.248,1,0
7,12,102.897,1,0
7,13,82.4082,1,1
7,14,64.0088,1,1
7,15,40.9484,1,1
7,16,26.3787,1,1
7,17,15.7564,1,1
7,18,28.0963,1,1
7,19,44.4484,1,1
7,20,142.574,1,0
7,21,125.483,1,0
7,22,107.921,1,0
7,23,85.7634,1,1
7,24,71.0502,1,1
7,25,54.1918,1,1
7,26,42.5966,1,1
7,27,37.2858,1,1
7,28,42.8499,1,1
7,29,59.0627,1,1
7,30,148.34,1,0
7,31,134.068,1,0
7,32,113.99,1,0
7,33,98.1403,1,1
7,34,83.7317,1,1
7,35,70.5519,1,1
7,36,59.0438,1,1
7,37,61.1781,1,1
7,38,63.1196,1,1
7,39,71.3525,1,1
7,40,158.164,1,0
7,41,143.532,1,0
7,42,126.187,1,0
7,43,109.469,1,0
7,44,99.0021,1,1
7,45,88.7542,1,1
7,46,80.5211,1,1
7,47,78.1891,1,1
7,48,82.1033,1,1
7,49,88.6336,1,1
8,9,20.4613,1,1
8,10,158.209,1,0
8,11,139.784,1,0
8,12,123.38,1,0
8,13,102.75,1,0
8,14,84.0766,1,1
8,15,60.3336,1,1
8,16,43.4352,1,1
8,17,25.3157,1,1
8,18,21.1133,1,1
8,19,27.9468,1,1
8,20,162.777,1,0
8,21,145.503,1,0
8,22,127.733,1,0
8,23,104.978,1,0
8,24,89.3478,1,1
8,25,70.908,1,1
8,26,55.5267,1,1
8,27,42.4536,1,1
8,28,38.301,1,1
8,29,46.4755,1,1
8,30,167.917,1,0
8,31,153.139,1,0
8,32,132.579,1,0
8,33,115.848,1,0
8,34,99.8402,1,1
8,35,84.6072,1,1
8,36,68.893,1,1
8,37,65.2347,1,1
8,38,59.7548,1,1
8,39,63.0443,1,1
8,40,176.826,1,0
8,41,161.733,1,0
8,42,143.246,1,0
8,43,125.668,1,0
8,44,113.089,1,0
8,45,100.122,1,0
8,46,88.5543,1,1
8,47,81.4373,1,1
8,48,80.3883,1,1
8,49,82.0218,1,1
9,10,178.432,1,0
9,11,159.94,1,0
9,12,143.483,1,0
9,13,122.726,1,0
9,14,103.851,1,0
9,15,79.7658,1,1
9,16,61.9806,1,1
9,17,42.6414,1,1
9,18,29.6619,1,1
9,19,19.3853,1,1
9,20,182.539,1,0
9,21,165.095,1,0
9,22,147.159,1,0
9,23,123.956,1,0
9,24,107.706,1,0
9,25,88.4051,1,1
9,26,71.1029,1,1
9,27,54.1287,1,1
9,28,42.6684,1,1
9,29,39.4742,1,1
9,30,187.038,1,0
9,31,171.812,1,0
9,32,150.891,1,0
9,33,133.507,1,0
9,34,116.375,1,0
9,35,99.8498,1,1
9,36,81.5612,1,1
9,37,73.5267,1,1
9,38,61.7397,1,1
9,39,59.3179,1,1
9,40,195.053,1,0
9,41,179.579,1,0
9,42,160.162,1,0
9,43,141.978,1,0
9,44,127.79,1,0
9,45,112.837,1,0
9,46,98.8679,1,1
9,47,87.9421,1,1
9,48,82.2837,1,1
9,49,78.7257,1,1
10,11,18.7365,1,1
10,12,35.2776,1,1
10,13,56.3107,1,1
10,14,75.5692,1,1
10,15,99.9093,1,1
10,16,118.647,1,0
10,17,137.841,1,0
10,18,155.818,1,0
10,19,176.372,1,0
10,20,19.1298,1,1
10,21,26.0281,1,1
10,22,39.9162,1,1
10,23,62.5645,1,1
10,24,79.9439,1,1
10,25,99.4425,1,1
10,26,119.105,1,0
10,27,139.432,1,0
10,28,158.231,1,0
10,29,181.58,1,0
10,30,37.5236,1,1
10,31,44.5723,1,1
10,32,54.4867,1,1
10,33,69.5495,1,1
10,34,87.5915,1,1
10,35,103.937,1,0
10,36,124.238,1,0
10,37,143.154,1,0
10,38,164.038,1,0
10,39,180.683,1,0
10,40,58.8011,1,1
10,41,60.3545,1,1
10,42,72.297,1,1
10,43,81.1616,1,1
10,44,98.6216,1,1
10,45,115.505,1,0
10,46,131.163,1,0
10,47,149.581,1,0
10,48,168.008,1,0
10,49,187.01,1,0
11,12,16.5599,1,1
11,13,37.5881,1,1
11,14,56.8438,1,1
11,15,81.1992,1,1
11,16,99.9284,1,1
11,17,119.157,1,0
11,18,137.097,1,0
11,19,157.656,1,0
11,20,26.9281,1,1
11,21,18.9801,1,1
11,22,24.3729,1,1
11,23,44.7654,1,1
11,24,61.7638,1,1
11,25,80.9518,1,1
11,26,100.519,1,0
11,27,120.775,1,0
11,28,139.548,1,0
11,29,162.889,1,0
11,30,41.5563,1,1
11,31,40.5704,1,1
11,32,42.7337,1,1
11,33,54.53,1,1
11,34,71.0637,1,1
11,35,86.5004,1,1
11,36,106.237,1,0
11,37,125.105,1,0
11,38,145.721,1,0
11,39,162.279,1,0
11,40,61.3287,1,1
11,41,57.599,1,1
11,42,63.4294,1,1
11,43,68.4316,1,1
11,44,84.0594,1,1
11,45,99.5908,1,1
11,46,114.333,1,0
11,47,132.22,1,0
11,48,150.358,1,0
11,49,169.076,1,0
12,13,21.0332,1,1
12,14,40.2916,1,1
12,15,64.6397,1,1
12,16,83.3715,1,1
12,17,102.6,1,0
12,18,120.542,1,0
12,19,141.098,1,0
12,20,40.8311,1,1
12,21,26.5595,1,1
12,22,18.2702,1,1
12,23,30.6386,1,1
12,24,46.5115,1,1
12,25,65.0127,1,1
12,26,84.3692,1,1
12,27,104.473,1,0
12,28,123.188,1,0
12,29,146.508,1,0
12,30,51.704,1,1
12,31,44.9135,1,1
12,32,38.507,1,1
12,33,44.6457,1,1
12,34,58.3239,1,1
12,35,72.2002,1,1
12,36,90.9956,1,1
12,37,109.739,1,0
12,38,129.943,1,0
12,39,146.36,1,0
12,40,68.8494,1,1
12,41,61.1526,1,1
12,42,60.6133,1,1
12,43,60.8705,1,1
12,44,73.672,1,1
12,45,87.2115,1,1
12,46,100.641,1,0
12,47,117.752,1,0
12,48,135.466,1,0
12,49,153.785,1,0
13,14,19.2588,1,1
13,15,43.6158,1,1
13,16,62.3403,1,1
13,17,81.5997,1,1
13,18,99.509,1,1
13,19,120.068,1,0
13,20,60.2418,1,1
13,21,43.6827,1,1
13,22,27.7284,1,1
13,23,18.7254,1,1
13,24,28.7888,1,1
13,25,45.1299,1,1
13,26,63.9543,1,1
13,27,83.7656,1,1
13,28,102.379,1,0
13,29,125.657,1,0
13,30,67.9367,1,1
13,31,56.7755,1,1
13,32,42.2444,1,1
13,33,38.5416,1,1
13,34,45.2036,1,1
13,35,55.3876,1,1
13,36,72.1237,1,1
13,37,90.5103,1,1
13,38,109.987,1,0
13,39,126.16,1,0
13,40,81.8204,1,1
13,41,70.6186,1,1
13,42,62.7523,1,1
13,43,56.3587,1,1
13,44,63.6734,1,1
13,45,73.3205,1,1
13,46,84.2599,1,1
13,47,99.9087,1,1
13,48,116.844,1,0
13,49,134.492,1,0
14,15,24.3904,1,1
14,16,43.0893,1,1
14,17,62.4044,1,1
14,18,80.2534,1,1
14,19,100.816,1,0
14,20,78.7121,1,1
14,21,61.4778,1,1
14,22,44.0186,1,1
14,23,24.1363,1,1
14,24,19.4151,1,1
14,25,28.323,1,1
14,26,45.6975,1,1
14,27,64.9514,1,1
14,28,83.3957,1,1
14,29,106.604,1,0
14,30,84.6062,1,1
14,31,71.354,1,1
14,32,53.1531,1,1
14,33,42.2469,1,1
14,34,39.5427,1,1
14,35,43.2228,1,1
14,36,56.1102,1,1
14,37,73.6906,1,1
14,38,92.0733,1,1
14,39,107.891,1,0
14,40,96.1361,1,1
14,41,82.9904,1,1
14,42,70.2644,1,1
14,43,58.7443,1,1
14,44,59.6219,1,1
14,45,63.9686,1,1
14,46,71.3092,1,1
14,47,84.7602,1,1
14,48,100.542,1,0
14,49,117.28,1,0
15,16,18.7543,1,1
15,17,38.0179,1,1
15,18,55.9229,1,1
15,19,76.4641,1,1
15,20,102.829,1,0
15,21,85.3298,1,1
15,22,67.4328,1,1
15,23,44.8228,1,1
15,24,30.7203,1,1
15,25,19.3178,1,1
15,26,26.2672,1,1
15,27,42.5412,1,1
15,28,60.2094,1,1
15,29,83.0991,1,1
15,30,107.597,1,0
15,31,93.1224,1,1
15,32,73.1442,1,1
15,33,58.0835,1,1
15,34,46.6103,1,1
15,35,39.507,1,1
15,36,41.8827,1,1
15,37,56.2058,1,1
15,38,71.5022,1,1
15,39,86.296,1,1
15,40,117.256,1,0
15,41,102.83,1,0
15,42,86.5704,1,1
15,43,71.2524,1,1
15,44,64.9292,1,1
15,45,61.3373,1,1
15,46,61.8372,1,1
15,47,70.2373,1,1
15,48,83.1804,1,1
15,49,97.7885,1,1
16,17,19.552,1,1
16,18,37.1733,1,1
16,19,57.7278,1,1
16,20,121.154,1,0
16,21,103.482,1,0
16,22,85.3914,1,1
16,23,61.9805,1,1
16,24,45.9321,1,1
16,25,27.9104,1,1
16,26,18.6769,1,1
16,27,26.3593,1,1
16,28,42.4379,1,1
16,29,64.8485,1,1
16,30,125.069,1,0
16,31,109.894,1,0
16,32,89.1752,1,1
16,33,72.4855,1,1
16,34,57.3904,1,1
16,35,44.5296,1,1
16,36,36.7006,1,1
16,37,45.3687,1,1
16,38,56.3838,1,1
16,39,69.819,1,1
16,40,133.416,1,0
16,41,118.304,1,0
16,42,100.184,1,0
16,43,83.172,1,1
16,44,72.8011,1,1
16,45,63.8978,1,1
16,46,58.6092,1,1
16,47,61.5048,1,1
16,48,71.001,1,1
16,49,83.1685,1,1
17,18,18.573,1,1
17,19,38.7334,1,1
17,20,140.686,1,0
17,21,123.032,1,0
17,22,104.942,1,0
17,23,81.4523,1,1
17,24,65.0654,1,1
17,25,45.94,1,1
17,26,30.3212,1,1
17,27,21.5552,1,1
17,28,29.1122,1,1
17,29,48.7179,1,1
17,30,144.54,1,0
17,31,129.182,1,0
17,32,108.256,1,0
17,33,91.0339,1,1
17,34,74.5876,1,1
17,35,59.3538,1,1
17,36,44.9639,1,1
17,37,45.5023,1,1
17,38,48.1435,1,1
17,39,57.9942,1,1
17,40,152.438,1,0
17,41,137.061,1,0
17,42,118.124,1,0
17,43,100.397,1,0
17,44,87.8813,1,1
17,45,75.6856,1,1
17,46,65.856,1,1
17,47,62.4984,1,1
17,48,66.5836,1,1
17,49,74.2666,1,1
18,19,20.5818,1,1
18,20,157.917,1,0
18,21,140.094,1,0
18,22,121.873,1,0
18,23,97.9518,1,1
18,24,80.89,1,1
18,25,60.837,1,1
18,26,42.3059,1,1
18,27,24.4681,1,1
18,28,17.2703,1,1
18,29,31.1231,1,1
18,30,160.815,1,0
18,31,144.894,1,0
18,32,123.581,1,0
18,33,105.562,1,0
18,34,87.6315,1,1
18,35,70.5586,1,1
18,36,51.901,1,1
18,37,45.1578,1,1
18,38,38.7748,1,1
18,39,43.9584,1,1
18,40,167.435,1,0
18,41,151.595,1,0
18,42,131.466,1,0
18,43,112.979,1,0
18,44,98.2519,1,1
18,45,83.2004,1,1
18,46,69.7361,1,1
18,47,60.8275,1,1
18,48,59.3128,1,1
18,49,62.201,1,1
19,20,178.459,1,0
19,21,160.611,1,0
19,22,142.372,1,0
19,23,118.373,1,0
19,24,101.165,1,0
19,25,80.9461,1,1
19,26,61.8257,1,1
19,27,42.1717,1,1
19,28,26.4676,1,1
19,29,20.4104,1,1
19,30,181.102,1,0
19,31,164.988,1,0
19,32,143.557,1,0
19,33,125.257,1,0
19,34,106.758,1,0
19,35,89.0145,1,1
19,36,68.7165,1,1
19,37,57.6618,1,1
19,38,43.2055,1,1
19,39,39.9476,1,1
19,40,187.178,1,0
19,41,171.144,1,0
19,42,150.459,1,0
19,43,131.658,1,0
19,44,115.788,1,0
19,45,99.1917,1,1
19,46,83.6314,1,1
19,47,70.6776,1,1
19,48,63.4053,1,1
19,49,59.3744,1,1
20,21,18.0508,1,1
20,22,36.3039,1,1
20,23,60.6215,1,1
20,24,78.3637,1,1
20,25,98.7074,1,1
20,26,118.628,1,0
20,27,139.325,1,0
20,28,158.242,1,0
20,29,181.541,1,0
20,30,18.4167,1,1
20,31,28.4351,1,1
20,32,43.9413,1,1
20,33,61.8545,1,1
20,34,81.5663,1,1
20,35,99.4193,1,1
20,36,120.972,1,0
20,37,139.806,1,0
20,38,161.55,1,0
20,39,178.496,1,0
20,40,39.6865,1,1
20,41,42.5796,1,1
20,42,57.8411,1,1
20,43,69.9723,1,1
20,44,89.1051,1,1
20,45,107.645,1,0
20,46,124.754,1,0
20,47,144.148,1,0
20,48,163.162,1,0
20,49,182.887,1,0
21,22,18.2887,1,1
21,23,42.5854,1,1
21,24,60.3166,1,1
21,25,80.6722,1,1
21,26,100.59,1,0
21,27,121.293,1,0
21,28,140.208,1,0
21,29,163.499,1,0
21,30,25.1487,1,1
21,31,21.62,1,1
21,32,28.5661,1,1
21,33,44.9048,1,1
21,34,64.1315,1,1
21,35,81.6731,1,1
21,36,103.061,1,0
21,37,121.929,1,0
21,38,143.586,1,0
21,39,160.513,1,0
21,40,43.1375,1,1
21,41,38.6367,1,1
21,42,46.6859,1,1
21,43,55.2577,1,1
21,44,73.2783,1,1
21,45,91.0076,1,1
21,46,107.586,1,0
21,47,126.715,1,0
21,48,145.602,1,0
21,49,165.185,1,0
22,23,24.3227,1,1
22,24,42.0838,1,1
22,25,62.4048,1,1
22,26,82.3265,1,1
22,27,103.021,1,0
22,28,121.939,1,0
22,29,145.242,1,0
22,30,40.6354,1,1
22,31,29.2637,1,1
22,32,20.3406,1,1
22,33,30.2003,1,1
22,34,47.6772,1,1
22,35,64.3723,1,1
22,36,85.3232,1,1
22,37,104.242,1,0
22,38,125.685,1,0
22,39,142.557,1,0
22,40,54.23,1,1
22,41,44.2479,1,1
22,42,42.391,1,1
22,43,44.4193,1,1
22,44,59.7061,1,1
22,45,75.725,1,1
22,46,91.2604,1,1
22,47,109.854,1,0
22,48,128.479,1,0
22,49,147.789,1,0
23,24,17.7764,1,1
23,25,38.087,1,1
23,26,58.0066,1,1
23,27,78.7073,1,1
23,28,97.6229,1,1
23,29,120.92,1,0
23,30,63.0906,1,1
23,31,48.3079,1,1
23,32,29.0841,1,1
23,33,20.1983,1,1
23,34,28.0214,1,1
23,35,41.7917,1,1
23,36,61.6775,1,1
23,37,80.6,1,1
23,38,101.701,1,0
23,39,118.491,1,0
23,40,72.6539,1,1
23,41,58.9761,1,1
23,42,46.6841,1,1
23,43,37.9449,1,1
23,44,45.3239,1,1
23,45,56.8602,1,1
23,46,70.0287,1,1
23,47,87.4926,1,1
23,48,105.6,1,0
23,49,124.452,1,0
24,25,20.4176,1,1
24,26,40.2979,1,1
24,27,61.0147,1,1
24,28,79.9178,1,1
24,29,103.187,1,0
24,30,79.9397,1,1
24,31,64.1486,1,1
24,32,43.2441,1,1
24,33,27.3648,1,1
24,34,20.1536,1,1
24,35,26.601,1,1
24,36,44.523,1,1
24,37,63.3505,1,1
24,38,84.1097,1,1
24,39,100.829,1,0
24,40,87.4842,1,1
24,41,72.512,1,1
24,42,55.8968,1,1
24,43,41.5315,1,1
24,44,40.2463,1,1
24,45,45.5606,1,1
24,46,55.4734,1,1
24,47,71.4669,1,1
24,48,88.9615,1,1
24,49,107.358,1,0
25,26,19.9228,1,1
25,27,40.6213,1,1
25,28,59.5359,1,1
25,29,82.8397,1,1
25,30,100.205,1,0
25,31,84.0694,1,1
25,32,62.7558,1,1
25,33,45.11,1,1
25,34,29.5636,1,1
25,35,20.2032,1,1
25,36,27.8001,1,1
25,37,45.5459,1,1
25,38,64.9569,1,1
25,39,81.3574,1,1
25,40,106.743,1,0
25,41,91.1745,1,1
25,42,72.3684,1,1
25,43,55.2802,1,1
25,44,46.3347,1,1
25,45,42.1289,1,1
25,46,44.6786,1,1
25,47,56.5584,1,1
25,48,72.2619,1,1
25,49,89.4125,1,1
26,27,20.7187,1,1
26,28,39.6212,1,1
26,29,62.9169,1,1
26,30,119.794,1,0
26,31,103.343,1,0
26,32,81.8166,1,1
26,33,63.4328,1,1
26,34,45.3553,1,1
26,35,29.0888,1,1
26,36,18.082,1,1
26,37,29.9483,1,1
26,38,46.4092,1,1
26,39,62.2461,1,1
26,40,125.354,1,0
26,41,109.374,1,0
26,42,89.1929,1,1
26,43,70.8762,1,1
26,44,57.5711,1,1
26,45,46.162,1,1
26,46,39.9463,1,1
26,47,44.5935,1,1
26,48,56.9182,1,1
26,49,72.0773,1,1
27,28,18.9197,1,1
27,29,42.2621,1,1
27,30,140.416,1,0
27,31,123.821,1,0
27,32,102.224,1,0
27,33,83.5694,1,1
27,34,64.6823,1,1
27,35,46.8477,1,1
27,36,27.4329,1,1
27,37,23.9834,1,1
27,38,30.0583,1,1
27,39,43.8166,1,1
27,40,145.416,1,0
27,41,129.221,1,0
27,42,108.305,1,0
27,43,89.4877,1,1
27,44,74.01,1,1
27,45,58.7521,1,1
27,46,46.1054,1,1
27,47,40.9551,1,1
27,48,46.1533,1,1
27,49,56.869,1,1
28,29,23.3656,1,1
28,30,159.153,1,0
28,31,142.419,1,0
28,32,120.778,1,0
28,33,101.947,1,0
28,34,82.6328,1,1
28,35,64.2745,1,1
28,36,43.0044,1,1
28,37,31.2717,1,1
28,38,21.5055,1,1
28,39,28.8826,1,1
28,40,163.621,1,0
28,41,147.268,1,0
28,42,125.839,1,0
28,43,106.77,1,0
28,44,90.0562,1,1
28,45,72.8963,1,1
28,46,57.175,1,1
28,47,45.2937,1,1
28,48,42.0896,1,1
28,49,45.816,1,1
29,30,182.123,1,0
29,31,165.213,1,0
29,32,143.545,1,0
29,33,124.552,1,0
29,34,104.89,1,0
29,35,86.2447,1,1
29,36,64.2494,1,1
29,37,48.8534,1,1
29,38,28.9742,1,1
29,39,20.4044,1,1
29,40,185.904,1,0
29,41,169.395,1,0
29,42,147.461,1,0
29,43,128.23,1,0
29,44,110.485,1,0
29,45,91.9825,1,1
29,46,74.4089,1,1
29,47,58.0707,1,1
29,48,46.7515,1,1
29,49,39.4981,1,1
30,31,17.8659,1,1
30,32,39.0037,1,1
30,33,58.2481,1,1
30,34,78.4871,1,1
30,35,97.161,1,1
30,36,119.359,1,0
30,37,137.731,1,0
30,38,159.993,1,0
30,39,177.03,1,0
30,40,21.2775,1,1
30,41,26.4297,1,1
30,42,46.058,1,1
30,43,61.6984,1,1
30,44,81.8951,1,1
30,45,101.654,1,0
30,46,119.877,1,0
30,47,139.915,1,0
30,48,159.251,1,0
30,49,179.474,1,0
31,32,21.6712,1,1
31,33,40.8265,1,1
31,34,60.9819,1,1
31,35,79.7347,1,1
31,36,101.995,1,0
31,37,120.21,1,0
31,38,142.538,1,0
31,39,159.569,1,0
31,40,25.0515,1,1
31,41,17.0304,1,1
31,42,29.6246,1,1
31,43,43.974,1,1
31,44,64.0861,1,1
31,45,83.7915,1,1
31,46,102.024,1,0
31,47,122.089,1,0
31,48,141.438,1,0
31,49,161.695,1,0
32,33,19.246,1,1
32,34,39.4841,1,1
32,35,58.17,1,1
32,36,80.3973,1,1
32,37,98.7275,1,1
32,38,121.001,1,0
32,39,138.038,1,0
32,40,44.2475,1,1
32,41,29.9017,1,1
32,42,22.1212,1,1
32,43,26.6931,1,1
32,44,45.1788,1,1
32,45,63.8724,1,1
32,46,81.4825,1,1
32,47,101.295,1,0
32,48,120.552,1,0
32,49,140.659,1,0
33,34,20.2489,1,1
33,35,38.9283,1,1
33,36,61.1723,1,1
33,37,79.4834,1,1
33,38,101.757,1,0
33,39,118.793,1,0
33,40,61.9216,1,1
33,41,46.0851,1,1
33,42,28.6093,1,1
33,43,17.818,1,1
33,44,29.538,1,1
33,45,46.1214,1,1
33,46,62.9012,1,1
33,47,82.4359,1,1
33,48,101.597,1,0
